,tradedate,ICmIH,signal_x,signal_y,signal,ret,cum,fee_cum,fee,fee_ret
0,2015-04-21,0.04027493072434174,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0
1,2015-04-22,-0.016813382162224274,1.0,-1.0,0.0,-0.0,1.0,1.0,0.0,-0.0
2,2015-04-23,0.0214077731928497,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
3,2015-04-24,0.018101941072045543,1.0,1.0,1.0,0.018101941072045543,1.0181019410720455,1.0177019410720456,0.0004,0.017701941072045542
4,2015-04-27,-0.03613828797481489,1.0,-1.0,0.0,-0.0,1.0181019410720455,1.0172948602956169,0.0004,-0.0004
5,2015-04-28,-0.0028976001232021713,-1.0,1.0,0.0,-0.0,1.0181019410720455,1.0172948602956169,0.0,-0.0
6,2015-04-29,0.01649427978492879,-1.0,-1.0,-1.0,-0.01649427978492879,1.0013090828064242,1.0001083963020128,0.0004,-0.01689427978492879
7,2015-04-30,0.012238040328133916,1.0,-1.0,0.0,0.0,1.0013090828064242,0.999708352943492,0.0004,-0.0004
8,2015-05-04,-0.0001549535899381116,1.0,-1.0,0.0,-0.0,1.0013090828064242,0.999708352943492,0.0,-0.0
9,2015-05-05,0.009443667382349141,-1.0,-1.0,-1.0,-0.009443667382349141,0.9918530528814752,0.9898675564377603,0.0004,-0.00984366738234914
10,2015-05-06,-0.009631569131030249,1.0,-1.0,0.0,-0.0,0.9918530528814752,0.9894716094151852,0.0004,-0.0004
11,2015-05-07,-0.0028357107265473136,-1.0,-1.0,-1.0,0.0028357107265473136,0.9946656612226898,0.9918816760278518,0.0004,0.0024357107265473134
12,2015-05-08,0.036502869498258206,-1.0,-1.0,-1.0,-0.036502869498258206,0.9583575103966793,0.9556751486500935,0.0,-0.036502869498258206
13,2015-05-11,0.019569993354548787,1.0,-1.0,0.0,0.0,0.9583575103966793,0.9552928785906335,0.0004,-0.0004
14,2015-05-12,0.013863732532650495,1.0,-1.0,0.0,0.0,0.9583575103966793,0.9552928785906335,0.0,0.0
15,2015-05-13,0.02117259189128795,1.0,-1.0,0.0,0.0,0.9583575103966793,0.9552928785906335,0.0,0.0
16,2015-05-14,0.006149037528178082,1.0,-1.0,0.0,0.0,0.9583575103966793,0.9552928785906335,0.0,0.0
17,2015-05-15,0.017365133928687215,1.0,-1.0,0.0,0.0,0.9583575103966793,0.9552928785906335,0.0,0.0
18,2015-05-18,0.0491517577259456,1.0,-1.0,0.0,0.0,0.9583575103966793,0.9552928785906335,0.0,0.0
19,2015-05-19,-0.021819963151330283,1.0,-1.0,0.0,-0.0,0.9583575103966793,0.9552928785906335,0.0,-0.0
20,2015-05-20,0.01750018969762346,0.0,-1.0,0.0,0.0,0.9583575103966793,0.9552928785906335,0.0,0.0
21,2015-05-21,0.03352992749247985,1.0,-1.0,0.0,0.0,0.9583575103966793,0.9552928785906335,0.0,0.0
22,2015-05-22,-0.03429098517172546,1.0,-1.0,0.0,-0.0,0.9583575103966793,0.9552928785906335,0.0,-0.0
23,2015-05-25,-0.010345877870919118,-1.0,1.0,0.0,-0.0,0.9583575103966793,0.9552928785906335,0.0,-0.0
24,2015-05-26,0.055519170848068684,0.0,-1.0,0.0,0.0,0.9583575103966793,0.9552928785906335,0.0,0.0
25,2015-05-27,0.008024252461482306,1.0,-1.0,0.0,0.0,0.9583575103966793,0.9552928785906335,0.0,0.0
26,2015-05-28,0.013885369345523424,1.0,1.0,1.0,0.013885369345523424,0.9716646583935935,0.9681753558915766,0.0004,0.013485369345523425
27,2015-05-29,0.02894866363690673,0.0,1.0,0.0,0.0,0.9716646583935935,0.9677880857492199,0.0004,-0.0004
28,2015-06-01,0.01966775225694839,0.0,1.0,0.0,0.0,0.9716646583935935,0.9677880857492199,0.0,0.0
29,2015-06-02,0.03249922482562495,1.0,-1.0,0.0,0.0,0.9716646583935935,0.9677880857492199,0.0,0.0
