,tradedate,ICmIH,instrumentID_IC,instrumentID_IH,preret_IC,prehigh_IC,prelow_IC,pre_30min_IC,preret_IH,prehigh_IH,prelow_IH,pre_30min_IH,dpreret,dprehigh,dprelow,dpre30,signal,cum,fee_cum,ret,fee,fee_ret
0,2015-04-21,0.04027493072434174,IC1505    ,IH1505    ,-0.017649948125241233,0.02698631360093895,-0.004957971402696493,0.004620802066674701,-0.02190502978057873,0.04162479538373054,-0.00556809060629615,0.0033132425071575877,0.0042550816553375,-0.01463848178279159,0.0006101192035996572,0.001307559559517113,1.0,1.0,1.0,0.04027493072434174,0.0,0.04027493072434174
1,2015-04-22,-0.016813382162224274,IC1505    ,IH1505    ,0.03479508667202391,4.0677013419809775e-05,-0.0327979991839944,0.005380908062315282,0.01576888315858005,0.00016488507821144085,-0.02462076432011362,0.005691186639008583,0.019026203513443862,-0.00012420806479163102,-0.008177234863880778,-0.0003102785766933014,1.0,0.9831866178377757,0.9831866178377757,-0.016813382162224274,0.0,-0.016813382162224274
2,2015-04-23,0.0214077731928497,IC1505    ,IH1505    ,0.025976587297185102,0.0012482834600637815,-0.017316178546584737,0.0008116219452953821,0.02640027874911333,0.0004910251513994268,-0.028728002376319225,0.006540982006113749,-0.0004236914519282209,0.0007572583086643548,0.011411823829734493,-0.005729360060818367,-1.0,0.9621387817168596,0.9617455070697245,-0.0214077731928497,0.0004,-0.0218077731928497
3,2015-04-24,0.018101941072045543,IC1505    ,IH1505    ,0.010484860207871094,0.00442531537208546,-0.016118753492575078,0.0018104937168721413,-0.007826092227859793,0.012344962424390538,-0.008443819881468806,-0.0008607175605032102,0.018310952435730887,-0.00791964705230508,-0.007674933611106272,0.002671211277375352,1.0,0.9795553612466279,0.9787702693621774,0.018101941072045543,0.0004,0.017701941072045542
4,2015-04-27,-0.03613828797481489,IC1505    ,IH1505    ,0.0009975388493228543,0.004068135629860192,-0.01934769672256731,2.1380439985785322e-05,-0.0151035620455795,0.008148364123624408,-0.01922790605342506,-0.0009048708080000578,0.016101100894902354,-0.004080228493764215,-0.00011979066914225012,0.0009262512479858431,1.0,0.9441559075146234,0.9433991875067799,-0.03613828797481489,0.0,-0.03613828797481489
5,2015-04-28,-0.0028976001232021713,IC1505    ,IH1505    ,0.0111567877288401,0.0074544638682862985,-0.011722044585822709,0.0026382054549607408,0.026206900830034963,0.0014508304493041635,-0.015257900225181031,0.004700953992929025,-0.015050113101194862,0.006003633418982135,0.003535855639358321,-0.002062748537968284,-1.0,0.9468916937885599,0.9457554214337257,0.0028976001232021713,0.0004,0.002497600123202171
6,2015-04-29,0.01649427978492879,IC1505    ,IH1505    ,-0.02896034544732662,0.033490675595900576,-0.009596587664882694,0.0035789729270365718,-0.007894935694962912,0.02671882473730558,-0.008091812828082467,0.0019322344322343368,-0.021065409752363703,0.006771850858594997,-0.0015047748368002267,0.0016467384948022354,-1.0,0.9312733972651862,0.9301558669044846,-0.01649427978492879,0.0,-0.01649427978492879
7,2015-04-30,0.012238040328133916,IC1505    ,IH1505    ,0.01956939350243392,0.00254501230979165,-0.026520333402545115,0.00024684999234536603,0.0002894285461851886,0.00652700957579011,-0.012103749908628059,-0.003686924012951121,0.01927996495624873,-0.00398199726599846,-0.014416583493917057,0.0039337740052964865,1.0,0.9426703586574359,0.9411670895683503,0.012238040328133916,0.0004,0.011838040328133917
8,2015-05-04,-0.0001549535899381116,IC1505    ,IH1505    ,0.004914424702636922,0.009657991397539643,-0.0013070166842391595,-0.0060169417928069855,-0.009986964255257023,0.018129574310334903,-0.0003814809459495861,-0.008752191852256175,0.014901388957893946,-0.008471582912795261,-0.0009255357382895736,0.0027352500594491898,1.0,0.9425242885012336,0.9410212523490901,-0.0001549535899381116,0.0,-0.0001549535899381116
9,2015-05-05,0.009443667382349141,IC1505    ,IH1505    ,0.004818369546865321,0.002605023453436273,-0.01517070717515334,0.0031921163684371927,0.0066205402877721475,0.0003484096931243297,-0.020690645810984787,0.007054304603149264,-0.0018021707409068282,0.002256613760311943,0.005519938635831445,-0.0038621882347120717,-1.0,0.9336234026208426,0.931758152141244,-0.009443667382349141,0.0004,-0.00984366738234914
10,2015-05-06,-0.009631569131030249,IC1505    ,IH1505    ,-0.036559630009118105,0.0368054014103576,-0.004717452868157722,0.003258405106751683,-0.03765269666046256,0.03879243269679655,-0.00503999923780729,0.00110321936579183,0.0010930666513444542,-0.0019870312864389557,0.00032254636964956784,0.002155185740959853,1.0,0.9246311442761523,0.9224111558246382,-0.009631569131030249,0.0004,-0.010031569131030248
11,2015-05-07,-0.0028357107265473136,IC1505    ,IH1505    ,-0.014188946915239531,0.03418285290115053,-0.008724483483855017,-0.005718685920026889,-0.003109111061003977,0.03363470127619439,-0.009209880790819969,0.004046226134462705,-0.011079835854235555,0.0005481516249561391,0.000485397306964952,-0.009764912054489594,-1.0,0.927253130730076,0.9246578825711672,0.0028357107265473136,0.0004,0.0024357107265473134
12,2015-05-08,0.036502869498258206,IC1505    ,IH1505    ,-0.022209575652604285,0.021857460258012832,-0.002166134411676901,-0.0033781951938586237,-0.014061713528426,0.015270382050354138,-0.0003715814506539683,-0.0036731921359564046,-0.008147862124178284,0.006587078207658692,-0.0017945529610229327,0.00029499694209778054,-1.0,0.8934057307071847,0.8909052165531361,-0.036502869498258206,0.0,-0.036502869498258206
