,tradedate,ICopen_f,ICopen2_f,IHopen_f,IHopen2_f,drest,ICopen_i,ICopen2_i,IHopen_i,IHopen2_i,ICbasis2,ICbasis,ICdbasis,IHbasis2,IHbasis,IHdbasis,ddbasis,signal,ret,fee,fee_ret,cum,fee_cum
0,2015-04-16,7527.4,7610.8,3112.8,3112.4,-0.04232499589815086,7705.46,7776.05,3045.85,3083.2199,165.25,178.0600000000004,-12.8100000000004,-29.18010000000004,-66.95000000000027,37.769900000000234,-50.579900000000634,1.0,-0.04232499589815086,0.0004,-0.04272499589815086,0.9576750041018491,1.0
1,2015-04-17,7663.0,7844.0,3340.4,3299.0,0.002702200332986182,7979.35,8019.16,3251.98,3249.9699,175.15999999999985,316.35000000000036,-141.1900000000005,-49.03009999999995,-88.42000000000007,39.389900000000125,-180.57990000000063,1.0,0.002702200332986182,0.0004,0.002302200332986182,0.9602628338168256,1.0023022003329862
2,2015-04-20,7677.4,7732.2,3273.0,3281.0,0.0266759411658829,7960.26,7925.59,3267.85,3265.02,193.39000000000033,282.8600000000006,-89.47000000000025,-15.980000000000018,-5.150000000000091,-10.829999999999927,-78.64000000000033,1.0,0.0266759411658829,0.0004,0.0262759411658829,0.9858787486755074,1.0286386339793707
3,2015-04-21,7655.0,7743.4,3191.2,3179.6,0.03416039786895575,7850.03,7910.19,3163.29,3165.4,166.78999999999996,195.02999999999975,-28.23999999999978,-14.199999999999818,-27.909999999999854,13.710000000000036,-41.94999999999982,1.0,0.03416039786895575,0.0004,0.03376039786895575,1.019556758980811,1.0633658835258935
4,2015-04-22,8127.6,8120.0,3267.4,3256.6,-0.00718727319647039,8180.12,8269.82,3219.7,3233.68,149.8199999999997,52.51999999999953,97.30000000000018,-22.920000000000073,-47.70000000000027,24.7800000000002,72.51999999999998,-1.0,0.00718727319647039,0.0004,0.00678727319647039,1.026884591946914,1.0705832382851899
5,2015-04-23,8196.0,8242.4,3339.2,3322.8,0.01936701944562369,8371.07,8356.16,3311.07,3307.32,113.76000000000022,175.0699999999997,-61.30999999999949,-15.480000000000018,-28.129999999999654,12.649999999999636,-73.95999999999913,1.0,0.01936701944562369,0.0004,0.01896701944562369,1.0467722858075612,1.0908890113839038
6,2015-04-24,8169.0,8236.4,3253.0,3260.8,0.0195497490995834,8321.33,8420.89,3226.38,3242.66,184.48999999999978,152.32999999999993,32.159999999999854,-18.140000000000327,-26.61999999999989,8.479999999999563,23.68000000000029,-1.0,-0.0195497490995834,0.0004,-0.0199497490995834,1.026308150255626,1.0691260493113024
7,2015-04-27,8460.2,8543.4,3274.4,3298.2,-0.040974919403586114,8509.05,8566.11,3257.9699,3283.81,22.710000000000946,48.849999999998545,-26.1399999999976,-14.389999999999873,-16.43010000000004,2.040100000000166,-28.180099999997765,1.0,-0.040974919403586114,0.0004,-0.04137491940358611,0.9842552565156582,1.024891045188773
8,2015-04-28,8409.0,8285.6,3324.8,3313.4,-0.008699809450647189,8533.67,8468.83,3309.53,3301.9699,183.22999999999956,124.67000000000007,58.55999999999949,-11.430100000000039,-15.269999999999982,3.8398999999999432,54.72009999999955,-1.0,0.008699809450647189,0.0004,0.00829980945064719,0.9928180896981422,1.0333974455715145
9,2015-04-29,8120.0,8203.4,3291.2,3284.6,0.008816605330628445,8242.11,8289.53,3268.52,3265.55,86.13000000000102,122.11000000000058,-35.97999999999956,-19.049999999999727,-22.679999999999836,3.630000000000109,-39.60999999999967,1.0,0.008816605330628445,0.0004,0.008416605330628445,1.0015713749601192,1.0420951440205695
10,2015-04-30,8369.6,8369.6,3319.2,3311.6,0.009063100207079677,8460.39,8489.83,3290.58,3293.4699,120.22999999999956,90.78999999999905,29.44000000000051,-18.130099999999857,-28.61999999999989,10.489900000000034,18.950100000000475,-1.0,-0.009063100207079677,0.0004,-0.009463100207079677,0.9924940332243131,1.0322336932473917
11,2015-05-04,8338.0,8253.6,3276.4,3240.4,0.001218298826113573,8495.22,8428.44,3250.12,3225.46,174.84000000000015,157.21999999999935,17.6200000000008,-14.940000000000055,-26.2800000000002,11.340000000000146,6.280000000000655,-1.0,-0.001218298826113573,0.0004,-0.001618298826113573,0.9912848789087112,1.0305632306733346
