,tradedate,ICopen_f,ICopen2_f,IHopen_f,IHopen2_f,drest,ICopen_i,ICopen2_i,IHopen_i,IHopen2_i,ICbasis2,ICbasis,ICdbasis,IHbasis2,IHbasis,IHdbasis,ddbasis,signal,ret,fee,fee_ret,cum,fee_cum
0,2015-04-16,7527.4,7529.4,3112.8,3100.2,-0.03552819865680101,7705.46,7627.46,3045.85,3072.92,98.0600000000004,178.0600000000004,-80.0,-27.279999999999745,-66.95000000000027,39.67000000000053,-119.67000000000053,-1.0,0.03552819865680101,0.0004,0.035128198656801016,1.035528198656801,1.0
1,2015-04-17,7663.0,7723.2,3340.4,3320.0,0.024411318362324352,7979.35,7995.3,3251.98,3251.2199,272.10000000000036,316.35000000000036,-44.25,-68.78009999999995,-88.42000000000007,19.639900000000125,-63.889900000000125,-1.0,-0.024411318362324352,0.0004,-0.024811318362324353,1.0102495901262256,0.9751886816376757
2,2015-04-20,7677.4,7712.0,3273.0,3263.8,0.024203593919365333,7960.26,7838.09,3267.85,3230.76,126.09000000000015,282.8600000000006,-156.77000000000044,-33.039999999999964,-5.150000000000091,-27.889999999999873,-128.88000000000056,-1.0,-0.024203593919365333,0.0004,-0.024603593919365334,0.9857979192896051,0.9511955353199011
3,2015-04-21,7655.0,7679.4,3191.2,3202.0,0.05003697766376014,7850.03,7931.42,3163.29,3180.87,252.02000000000044,195.02999999999975,56.99000000000069,-21.13000000000011,-27.909999999999854,6.779999999999745,50.210000000000946,1.0,0.05003697766376014,0.0004,0.04963697766376014,1.0351242677580803,0.9984100068604435
4,2015-04-22,8127.6,8130.6,3267.4,3254.8,-0.009063954864573457,8180.12,8214.18,3219.7,3220.87,83.57999999999993,52.51999999999953,31.0600000000004,-33.93000000000029,-47.70000000000027,13.769999999999982,17.29000000000042,1.0,-0.009063954864573457,0.0004,-0.009463954864573456,1.0257419481158965,0.9889610996191778
5,2015-04-23,8196.0,8228.0,3339.2,3339.6,0.02606934257713156,8371.07,8367.04,3311.07,3313.4899,139.04000000000087,175.0699999999997,-36.029999999998836,-26.110099999999875,-28.129999999999654,2.0198999999997795,-38.049899999998615,-1.0,-0.02606934257713156,0.0004,-0.02646934257713156,0.9990015298747289,0.962783949477901
6,2015-04-24,8169.0,8181.8,3253.0,3259.2,0.025809933125875432,8321.33,8338.22,3226.38,3243.78,156.41999999999916,152.32999999999993,4.089999999999236,-15.419999999999618,-26.61999999999989,11.200000000000273,-7.110000000001037,-1.0,-0.025809933125875432,0.0004,-0.026209933125875433,0.9732173671960149,0.937549446547419
7,2015-04-27,8460.2,8460.0,3274.4,3277.4,-0.03780395028579542,8509.05,8523.55,3257.9699,3260.2199,63.54999999999927,48.849999999998545,14.700000000000728,-17.18010000000004,-16.43010000000004,-0.75,15.450000000000728,1.0,-0.03780395028579542,0.0004,-0.038203950285795416,0.936425906229264,0.9017313541010464
8,2015-04-28,8409.0,8399.0,3324.8,3334.4,-0.015728139991987855,8533.67,8538.08,3309.53,3312.56,139.07999999999993,124.67000000000007,14.409999999999854,-21.840000000000146,-15.269999999999982,-6.570000000000164,20.980000000000018,1.0,-0.015728139991987855,0.0004,-0.016128139991987856,0.9216976684839661,0.88718810458694
9,2015-04-29,8120.0,8126.4,3291.2,3291.8,0.020600325956276592,8242.11,8243.28,3268.52,3279.2399,116.88000000000102,122.11000000000058,-5.229999999999563,-12.560100000000148,-22.679999999999836,10.119899999999689,-15.349899999999252,-1.0,-0.020600325956276592,0.0004,-0.021000325956276593,0.9027103960800562,0.8685568652060831
