,instrumentID_IC,tradedate,instrumentID_IH,ICopen,ICopen2,ICopen_ret,ICclose,IC_rest_of_the_day,IHopen,IHopen2,IHopen_ret,IHclose,IH_rest_of_the_day,dopen,signal,drest,ret,fee_ret,cum,fee_cum
855,IC1810.CCFX,2018-10-17,IH1810.CCFX,4150.8,4134.2,-0.003999229064276855,4120.6,-0.0032896328189249147,2458.4,2449.8,-0.003498210218027986,2427.8,-0.00898032492448364,-0.0005010188462488685,-1.0,0.005690692105558726,-0.005690692105558726,-0.006090692105558726,3.199900826719272,2.2738531329724374
856,IC1810.CCFX,2018-10-18,IH1810.CCFX,4109.0,4059.2,-0.012119737162326616,4033.2,-0.006405202995664161,2414.8,2403.6,-0.004638065264204183,2370.8,-0.01364619737061068,-0.007481671898122433,-1.0,0.007240994374946519,-0.007240994374946519,-0.007640994374946519,3.176730362832611,2.2564786339739404
857,IC1811.CCFX,2018-10-19,IH1811.CCFX,3949.0,3969.8,0.005267156242086735,4080.4,0.027860345609350468,2365.4,2368.0,0.0010991798427326671,2439.2,0.030067567567567455,0.0041679763993540675,1.0,-0.002207221958216987,-0.002207221958216987,-0.0026072219582169874,3.1697186138204323,2.250595493331196
858,IC1811.CCFX,2018-10-22,IH1811.CCFX,4150.0,4198.8,0.011759036144578294,4317.6,0.028293798228065103,2463.2,2498.8,0.014452744397531747,2551.8,0.02121018088682569,-0.002693708252953453,-1.0,0.007083617341239412,-0.007083617341239412,-0.007483617341239412,3.1472655400807246,2.2337528978691874
859,IC1811.CCFX,2018-10-23,IH1811.CCFX,4318.6,4298.8,-0.004584819154355602,4219.6,-0.01842374616171949,2550.0,2546.0,-0.0015686274509804088,2466.0,-0.03142183817753341,-0.003016191703375193,-1.0,0.012998092015813922,-0.012998092015813922,-0.013398092015813922,3.106357092992555,2.2038248710029453
860,IC1811.CCFX,2018-10-24,IH1811.CCFX,4218.6,4246.8,0.006684682122030994,4209.8,-0.008712442309503632,2466.0,2491.0,0.010137875101378757,2480.8,-0.004094741067844132,-0.0034531929793477634,-1.0,-0.0046177012416595,0.0046177012416595,0.0042177012416595,3.1207013219979047,2.2131199458977746
861,IC1811.CCFX,2018-10-25,IH1811.CCFX,4100.0,4088.2,-0.0028780487804878074,4226.0,0.03370676581380572,2428.0,2431.4,0.0014003294892916962,2489.6,0.023936826519700416,-0.004278378269779504,-1.0,0.009769939294105301,-0.009769939294105301,-0.0101699392941053,3.090212259526951,2.1906126503974206
862,IC1811.CCFX,2018-10-26,IH1811.CCFX,4249.8,4246.0,-0.0008941597251636013,4199.8,-0.010880829015543991,2495.0,2487.4,-0.0030460921843686872,2470.2,-0.006914850848275367,0.002151932459205086,1.0,-0.0039659781672686245,-0.0039659781672686245,-0.004365978167268625,3.0779565451734414,2.181048483392843
863,IC1811.CCFX,2018-10-29,IH1811.CCFX,4206.4,4212.0,0.0013313046785849991,4156.0,-0.013295346628679927,2471.2,2471.6,0.0001618646811265556,2391.4,-0.032448616280951526,0.0011694399974584435,1.0,0.0191532696522716,0.0191532696522716,0.018753269652271597,3.1369094768611228,2.2219502737265873
864,IC1811.CCFX,2018-10-30,IH1811.CCFX,4145.2,4136.0,-0.0022194345266813853,4189.6,0.012959381044487461,2395.0,2399.2,0.001753653444676262,2421.4,0.009253084361454,-0.003973087971357647,-1.0,0.003706296683033461,-0.003706296683033461,-0.004106296683033461,3.125283159672056,2.2128262866877186
865,IC1811.CCFX,2018-10-31,IH1811.CCFX,4202.6,4191.4,-0.002665016894303651,4252.0,0.014458176265687017,2431.8,2431.8,0.0,2450.4,0.007648655317049169,-0.002665016894303651,-1.0,0.006809520948637848,-0.006809520948637848,-0.0072095209486378485,3.104001478525844,2.196872869218147
