,instrumentID_IC,tradedate,instrumentID_IH,ICopen,ICopen2,ICopen_ret,ICclose,IC_rest_of_the_day,IHopen,IHopen2,IHopen_ret,IHclose,IH_rest_of_the_day,dopen,signal,drest,ret,cum,fee,fee_cum,fee_ret
895,IC1812.CCFX,2018-12-12,IH1812.CCFX,4408.91,4413.71,0.001088704464368817,4371.8,-0.004553941436313158,2437.61,2430.2399,-0.0030234943243587775,2427.0,-0.003285420944558526,0.004112198788727595,1.0,-0.0012685204917546322,-0.0012685204917546322,1.31713874452218,0.0,1.1003555790359367,-0.0012685204917546322
896,IC1812.CCFX,2018-12-13,IH1812.CCFX,4405.09,4393.1,-0.002721851312912915,4430.2,0.01363657163776133,2429.39,2427.41,-0.000815019408164197,2460.2,0.011595394736842124,-0.0019068319047487181,-1.0,0.002041176900919206,-0.002041176900919206,1.3144502313415556,0.0004,1.0976694164135967,-0.002441176900919206
897,IC1812.CCFX,2018-12-14,IH1812.CCFX,4436.0,4429.91,-0.001372858431018975,4329.6,-0.021116888989373694,2446.81,2441.52,-0.0021619986840007988,2429.6,-0.0061359731653439775,0.0007891402529818237,1.0,-0.014980915824029717,-0.014980915824029717,1.2947585630709513,0.0004,1.0807862555171275,-0.015380915824029716
898,IC1812.CCFX,2018-12-17,IH1812.CCFX,4322.59,4325.14,0.0005899240964328811,4321.2,-9.255831173649032e-05,2420.58,2427.76,0.002966231233836547,2430.6,-0.0023805614841569955,-0.002376307137403666,-1.0,0.002288003172420505,-0.002288003172420505,1.2917961513711262,0.0004,1.077881098633589,-0.0026880031724205054
899,IC1812.CCFX,2018-12-18,IH1812.CCFX,4308.05,4329.56,0.0049929782616264795,4295.2,-0.006890173410404654,2409.58,2424.17,0.00605499713643054,2398.2,-0.012761402931006138,-0.0010620188748040604,-1.0,0.005871229520601484,-0.005871229520601484,1.2842117196725966,0.0,1.071552611307593,-0.005871229520601484
900,IC1812.CCFX,2018-12-19,IH1812.CCFX,4311.28,4297.76,-0.0031359596222002573,4236.2,-0.01027989346292224,2401.91,2397.35,-0.0018984891190760855,2372.6,-0.01191071131101118,-0.0012374705031241717,-1.0,0.001630817848088939,-0.001630817848088939,1.2821174042794297,0.0,1.0698051041839063,-0.001630817848088939
901,IC1812.CCFX,2018-12-20,IH1812.CCFX,4240.37,4242.2299,0.0004386173848036634,4264.0,0.005802707930367523,2363.0,2349.77,-0.0055988150655945645,2336.2,-0.006802142674942613,0.006037432450398228,1.0,0.012604850605310136,0.012604850605310136,1.29827830261884,0.0004,1.082861915657269,0.012204850605310137
902,IC1901.CCFX,2018-12-21,IH1901.CCFX,4246.43,4256.86,0.0024561808389633732,4206.0,-0.004072741049441109,2325.98,2311.55,-0.0062038366623959895,2313.2,-0.0011227221694448675,0.008660017501359363,1.0,-0.0029500188799962412,-0.0029500188799962412,1.294448357114625,0.0,1.0796674525616512,-0.0029500188799962412
903,IC1901.CCFX,2018-12-24,IH1901.CCFX,4227.35,4231.12,0.0008918116550555855,4255.0,0.01217945668204945,2293.75,2292.84,-0.0003967302452315691,2312.2,0.006704980842911823,0.0012885419002871545,1.0,0.005474475839137627,0.005474475839137627,1.3015347833706605,0.0,1.0855780659450032,0.005474475839137627
904,IC1901.CCFX,2018-12-25,IH1901.CCFX,4233.54,4170.47,-0.014897697907661156,4195.2,0.014902264370040497,2285.66,2276.08,-0.004191349544551692,2303.0,0.010708329676117012,-0.010706348363109464,-1.0,0.0041939346939234845,-0.0041939346939234845,1.2960762314873342,0.0004,1.080590991204896,-0.004593934693923485
905,IC1901.CCFX,2018-12-26,IH1901.CCFX,4218.66,4231.58,0.0030625838536406658,4189.0,-0.0034257981633915024,2293.29,2298.98,0.002481151533386461,2284.6,-0.007472412894256819,0.0005814323202542049,1.0,0.004046614730865317,0.004046614730865317,1.3013209526579952,0.0004,1.0845314902314642,0.0036466147308653165
906,IC1901.CCFX,2018-12-27,IH1901.CCFX,4263.33,4243.2299,-0.004714647939521366,4131.0,-0.021275587566338183,2310.81,2299.88,-0.004729943180096896,2287.6,-0.00840918942349378,1.5295240575530222e-05,1.0,-0.012866398142844404,-0.012866398142844404,1.2845776391694719,0.0,1.0705774762796938,-0.012866398142844404
907,IC1901.CCFX,2018-12-28,IH1901.CCFX,4168.9399,4140.02,-0.00693699134401049,4120.4,-0.0006306087800146409,2279.7,2278.76,-0.00041233495635373263,2286.6,0.0002624671916009458,-0.006524656387656758,-1.0,-0.0008930759716155867,0.0008930759716155867,1.2857248645926889,0.0004,1.0711053523090002,0.0004930759716155868
908,IC1901.CCFX,2019-01-02,IH1901.CCFX,4176.11,4164.58,-0.002760942599691951,4096.8,-0.010195699444310202,2298.18,2280.4699,-0.007706141381440879,2261.4,-0.00789681495130301,0.004945198781748927,1.0,-0.0022988844930071917,-0.0022988844930071917,1.282769131639203,0.0004,1.0682145626832764,-0.002698884493007192
909,IC1901.CCFX,2019-01-03,IH1901.CCFX,4131.6899,4147.6899,0.0038725074696432937,4086.6,-0.008588064046579302,2259.48,2270.12,0.004709048099562629,2268.0,-0.004040049183207328,-0.0008365406299193356,-1.0,-0.004548014863371974,0.004548014863371974,1.288603184716173,0.0004,1.072645532566557,0.004148014863371974
910,IC1901.CCFX,2019-01-04,IH1901.CCFX,4075.62,4110.32,0.008514042035322245,4207.8,0.03046480873781654,2252.7399,2272.06,0.00857626750429552,2316.2,0.016769095697980685,-6.222546897327597e-05,-1.0,0.013695713039835855,-0.013695713039835855,1.2709548452760817,0.0,1.0579548871590634,-0.013695713039835855
911,IC1901.CCFX,2019-01-07,IH1901.CCFX,4235.03,4234.14,-0.0002101519942006025,4268.6,0.013149150289566203,2329.03,2314.4,-0.006281585037547832,2313.4,0.0005189862468646389,0.00607143304334723,1.0,0.012630164042701564,0.012630164042701564,1.287007213462785,0.0004,1.0708938489787967,0.012230164042701564
912,IC1901.CCFX,2019-01-08,IH1901.CCFX,4278.28,4279.46,0.0002758117748253852,4270.8,-4.6827440880359283e-05,2312.17,2305.51,-0.0028804110424406337,2308.2,0.001822916666666563,0.003156222817266019,1.0,-0.0018697441075469223,-0.0018697441075469223,1.2846008393090427,0.0,1.0688915515148603,-0.0018697441075469223
913,IC1901.CCFX,2019-01-09,IH1901.CCFX,4286.2299,4309.59,0.0054500343063725865,4273.8,-0.008261010813570224,2320.91,2339.32,0.007932233477386141,2332.0,-0.005119453924914641,-0.002482199171013555,-1.0,-0.0031415568886555834,0.0031415568886555834,1.2886364859249466,0.0004,1.0718219785111416,0.002741556888655583
914,IC1901.CCFX,2019-01-10,IH1901.CCFX,4289.56,4283.61,-0.0013870886524494086,4277.4,0.0009828699803424712,2333.2199,2323.96,-0.003968721507989881,2335.4,0.005337925096857488,0.002581632855540472,1.0,-0.004355055116515016,-0.004355055116515016,1.2830244030035913,0.0004,1.066725405928229,-0.004755055116515017
915,IC1901.CCFX,2019-01-11,IH1901.CCFX,4282.39,4304.17,0.005085944998003411,4312.0,0.0007426661715559391,2342.02,2352.12,0.004312516545546208,2355.8,8.490405841410364e-05,0.0007734284524572033,1.0,0.0006577621131418354,0.0006577621131418354,1.2838683278461236,0.0,1.0674270574853744,0.0006577621131418354
916,IC1901.CCFX,2019-01-14,IH1901.CCFX,4317.52,4305.15,-0.002865070688728877,4290.2,-0.0033915629065229824,2350.26,2339.63,-0.004522903848935944,2332.8,-0.0019679986309574238,0.0016578331602070673,1.0,-0.0014235642755655586,-0.0014235642755655586,1.2820406587600717,0.0,1.0659075064595662,-0.0014235642755655586
917,IC1901.CCFX,2019-01-15,IH1901.CCFX,4282.99,4282.88,-2.5682992488840206e-05,4351.4,0.016682242990654128,2337.7,2345.64,0.0033965008341532155,2375.8,0.012184730743013183,-0.0034221838266420557,-1.0,0.004497512247640945,-0.004497512247640945,1.2762746651953245,0.0004,1.0606872113918282,-0.004897512247640945
918,IC1901.CCFX,2019-01-16,IH1901.CCFX,4347.08,4355.5,0.0019369323775959568,4341.0,-0.004540451293340686,2375.17,2375.77,0.00025261349713900927,2380.2,0.003372396931118793,0.0016843188804569476,1.0,-0.007912848224459479,-0.007912848224459479,1.2661756974769112,0.0004,1.0518698795899029,-0.008312848224459478
919,IC1901.CCFX,2019-01-17,IH1901.CCFX,4334.63,4322.34,-0.0028353054355273466,4307.4,-0.003470294280955022,2388.59,2373.61,-0.006271482338953138,2370.4,-0.0001687194196052788,0.0034361769034257916,1.0,-0.003301574861349743,-0.003301574861349743,1.2619953236240695,0.0,1.048397052438038,-0.003301574861349743
920,IC1902.CCFX,2019-01-18,IH1902.CCFX,4307.14,4328.17,0.004882590303542322,4341.0,0.004396112910689531,2385.62,2400.2399,0.006128343994433294,2415.2,0.0062494792100658,-0.0012457536908909717,-1.0,-0.001853366299376269,0.001853366299376269,1.2643342632268448,0.0004,1.0499207573824167,0.001453366299376269
921,IC1902.CCFX,2019-01-21,IH1902.CCFX,4354.7,4371.64,0.0038900498312168796,4360.0,-0.002425296297991153,2418.0,2441.48,0.009710504549214294,2434.0,-0.0027859718125206046,-0.005820454717997414,-1.0,0.00036067551452945157,-0.00036067551452945157,1.2638782488159184,0.0,1.0495420766730328,-0.00036067551452945157
922,IC1902.CCFX,2019-01-22,IH1902.CCFX,4370.86,4352.45,-0.004211985741936375,4294.2,-0.009868572746137949,2430.43,2419.78,-0.004381940644248017,2405.6,-0.006278916060806439,0.000169954902311642,1.0,-0.0035896566853315104,-0.0035896566853315104,1.2593413598106111,0.0004,1.0453547641102976,-0.003989656685331511
923,IC1902.CCFX,2019-01-23,IH1902.CCFX,4298.9399,4315.2,0.0037823510861363374,4302.6,-0.00027882336539797326,2397.41,2409.2199,0.0049261077579554335,2396.4,-0.007537480328004609,-0.0011437566718190961,-1.0,0.0072586569626066355,-0.0072586569626066355,1.2502002328809234,0.0004,1.0373487505677503,-0.007658656962606636
924,IC1902.CCFX,2019-01-24,IH1902.CCFX,4318.71,4309.34,-0.0021696293569144487,4330.8,0.008147492900041797,2401.38,2397.98,-0.0014158525514496034,2413.8,0.005414861712762509,-0.0007537768054648453,-1.0,0.0027326311872792886,-0.0027326311872792886,1.246783896734209,0.0,1.0345140590198636,-0.0027326311872792886
925,IC1902.CCFX,2019-01-25,IH1902.CCFX,4341.41,4343.39,0.0004560730269660418,4310.0,-0.005721140537049085,2419.26,2439.33,0.008295925200267673,2441.0,0.0,-0.007839852173301631,-1.0,-0.005721140537049085,0.005721140537049085,1.253916922626755,0.0,1.0404326593390691,0.005721140537049085
926,IC1902.CCFX,2019-01-28,IH1902.CCFX,4341.49,4332.59,-0.0020499874467060364,4291.6,-0.007906052059734603,2455.28,2461.86,0.0026799387442573153,2440.0,-0.009579477187855123,-0.004729926190963352,-1.0,0.0016734251281205204,-0.0016734251281205204,1.251818586539856,0.0,1.038691573182814,-0.0016734251281205204
927,IC1902.CCFX,2019-01-29,IH1902.CCFX,4301.47,4270.37,-0.007230086458815288,4242.4,-0.004505350103247818,2433.31,2437.01,0.0015205625259422373,2458.8,0.008200754469411153,-0.008750648984757525,-1.0,-0.012706104572658972,0.012706104572658972,1.2677243244064296,0.0,1.0518892969304146,0.012706104572658972
928,IC1902.CCFX,2019-01-30,IH1902.CCFX,4235.27,4246.21,0.0025830702647056114,4201.8,-0.009289823634820227,2445.86,2446.64,0.00031890623339014823,2448.6,-0.0002449779519843043,0.002264164031315463,1.0,-0.009044845682835922,-0.009044845682835922,1.2562579535237959,0.0004,1.04195436484548,-0.009444845682835922
929,IC1902.CCFX,2019-01-31,IH1902.CCFX,4203.9799,4207.54,0.0008468403952168746,4183.6,-0.004236683010424902,2454.64,2463.5,0.003609490597399345,2486.8,0.007699165248399309,-0.0027626502021824706,-1.0,-0.011935848258824211,0.011935848258824211,1.2712524578309972,0.0004,1.0539741922909571,0.011535848258824212
930,IC1902.CCFX,2019-02-01,IH1902.CCFX,4189.11,4222.56,0.007984989651740104,4313.2,0.019331663279293032,2502.1,2482.44,-0.007857399784181207,2505.6,0.009101892871526296,0.01584238943592131,1.0,0.010229770407766736,0.010229770407766736,1.2842570786049174,0.0004,1.0643345166168887,0.009829770407766737
931,IC1902.CCFX,2019-02-11,IH1902.CCFX,4306.2,4320.83,0.0033974269657703893,4406.8,0.019526189154173812,2485.5,2486.02,0.0002092134379401145,2522.0,0.014073180538801688,0.003188213527830275,1.0,0.0054530086153721236,0.0054530086153721236,1.2912601435189026,0.0,1.0701383419056385,0.0054530086153721236
932,IC1902.CCFX,2019-02-12,IH1902.CCFX,4398.4399,4408.64,0.0023190267985702118,4433.4,0.004031162242956521,2528.1,2516.44,-0.004612159329140386,2531.6,0.006040375139087617,0.006931186127710598,1.0,-0.002009212896131096,-0.002009212896131096,1.2886657269862845,0.0,1.0679882061484374,-0.002009212896131096
