,Unnamed: 0,instrumentID_IC,tradedate,instrumentID_IH,ICopen,ICopen2,ICopen_ret,ICclose,IC_rest_of_the_day,IHopen,IHopen2,IHopen_ret,IHclose,IH_rest_of_the_day,dopen,signal,drest,ret,cum,fee,fee_cum,fee_ret
0,0,IC1505.CCFX,2015-04-16,IH1505.CCFX,7705.46,7683.54,-0.002844736070267029,7707.8,0.02000899875605433,3045.85,3070.32,0.008033882167539419,3283.8,0.05608799125233177,-0.010878618237806448,-1.0,-0.03607899249627744,0.03607899249627744,1.0,0.0,1.0,0.03607899249627744
1,1,IC1505.CCFX,2015-04-17,IH1505.CCFX,7979.35,8031.75,0.006566950942119343,7758.2,0.0008514371226584494,3251.98,3266.16,0.004360420420789657,3254.0,-0.02052856540846426,0.002206530521329686,1.0,0.02138000253112271,0.02138000253112271,1.0213800025311226,0.0004,1.0209800025311226,0.02098000253112271
2,2,IC1505.CCFX,2015-04-20,IH1505.CCFX,7960.26,7916.73,-0.005468414348275164,7622.2,-0.012821841164585844,3267.85,3259.81,-0.0024603332466300865,3146.8,-0.0390276675013741,-0.003008081101645077,-1.0,0.02620582633678825,-0.02620582633678825,0.9946138955609236,0.0004,0.9938159858904461,-0.026605826336788253
3,3,IC1505.CCFX,2015-04-21,IH1505.CCFX,7850.03,7904.79,0.006975769519352193,8140.4,0.05423746373808536,3163.29,3177.23,0.004406804308172863,3234.0,0.00961538461538458,0.0025689652111793304,1.0,0.044622079122700775,0.044622079122700775,1.0389956355051808,0.0004,1.0377645950518983,0.04422207912270078
4,4,IC1505.CCFX,2015-04-22,IH1505.CCFX,8180.12,8240.97,0.0074387661794692575,8189.8,0.007107722577471831,3219.7,3219.26,-0.0001366586949093085,3308.0,0.01960300826038708,0.007575424874378567,1.0,-0.012495285682915249,-0.012495285682915249,1.0260130882162415,0.0,1.02479742996511,-0.012495285682915249
5,5,IC1505.CCFX,2015-04-23,IH1505.CCFX,8371.07,8372.76,0.00020188578043200958,8265.6,0.00601251186679974,3311.07,3298.71,-0.003732932254527976,3267.8,-0.01613777322815679,0.003934818034959986,1.0,0.02215028509495653,0.02215028509495653,1.048739570631388,0.0,1.0474969852034157,0.02215028509495653
6,6,IC1505.CCFX,2015-04-24,IH1505.CCFX,8321.33,8351.4,0.0036136050366948336,8327.2,0.014819147898995856,3226.38,3236.35,0.003090150571228412,3233.0,-0.008099650242375911,0.0005234544654664218,1.0,0.02291879814137177,0.02291879814137177,1.0727754211535578,0.0,1.0715043571609884,0.02291879814137177
7,7,IC1505.CCFX,2015-04-27,IH1505.CCFX,8509.05,8550.12,0.004826625769034365,8347.2,-0.01619404568276639,3257.9699,3269.91,0.003664889598887777,3357.6,0.021230001824928516,0.0011617361701465876,1.0,-0.0374240475076949,-0.0374240475076949,1.0326278228272197,0.0,1.0314043271938935,-0.0374240475076949
8,8,IC1505.CCFX,2015-04-28,IH1505.CCFX,8533.67,8521.41,-0.0014366620691917964,8147.0,-0.023586375512356428,3309.53,3305.26,-0.0012902134139892716,3286.8,-0.01220171905992662,-0.0001464486552025246,-1.0,-0.011384656452429807,0.011384656452429807,1.044383935833328,0.0004,1.042733949391668,0.010984656452429808
9,9,IC1505.CCFX,2015-04-29,IH1505.CCFX,8242.11,8208.3,-0.004102104922162121,8302.2,0.020929660600098376,3268.52,3258.25,-0.003142094893101466,3295.2,0.0047566776436149824,-0.0009600100290606539,-1.0,0.0161729829564834,-0.0161729829564834,1.0274931322390706,0.0,1.02586983100001,-0.0161729829564834
10,10,IC1505.CCFX,2015-04-30,IH1505.CCFX,8460.39,8497.16,0.0043461353436426995,8338.8,-0.004084557506270237,3290.58,3296.26,0.0017261394647754007,3269.4,-0.014350316551100415,0.0026199958788672983,1.0,0.01026575904483018,0.01026575904483018,1.0380411291548546,0.0004,1.0359908155640167,0.009865759044830181
11,11,IC1505.CCFX,2015-05-04,IH1505.CCFX,8495.22,8421.06,-0.008729615007027514,8347.2,0.0124199495439552,3250.12,3220.51,-0.009110432845556349,3273.2,0.009001233045622614,0.0003808178385288352,1.0,0.0034187164983325857,0.0034187164983325857,1.041589897489044,0.0,1.0395325744573065,0.0034187164983325857
12,12,IC1505.CCFX,2015-05-05,IH1505.CCFX,8501.12,8490.9599,-0.001195148403975166,8145.0,-0.01999711233034951,3266.81,3259.12,-0.0023539783458481627,3163.0,-0.03112173007412855,0.0011588299418729966,1.0,0.011124617743779042,0.011124617743779042,1.0531771869443916,0.0,1.0510969769803504,0.011124617743779042
13,13,IC1505.CCFX,2015-05-06,IH1505.CCFX,8220.6,8270.79,0.006105393766878464,8040.8,-0.02358227079538555,3175.89,3165.14,-0.0033848779397270823,3153.0,-0.008989187830022559,0.009490271706605545,1.0,-0.014593082965362991,-0.014593082965362991,1.0378080848780844,0.0,1.035758231590634,-0.014593082965362991
14,14,IC1505.CCFX,2015-05-07,IH1505.CCFX,8043.01,8037.09,-0.0007360428496296922,7911.4,-0.01060503739276153,3116.79,3124.2,0.002377446026200048,3111.2,-0.01005472826778675,-0.0031134888758297397,-1.0,-0.0005503091249747794,0.0005503091249747794,1.0383792001371654,0.0004,1.0359139155041097,0.00015030912497477933
15,15,IC1505.CCFX,2015-05-08,IH1505.CCFX,7989.34,8056.17,0.008364896224218654,8171.2,0.021017118580532342,3126.0,3122.38,-0.0011580294305821859,3099.8,-0.012991148188244206,0.00952292565480084,1.0,0.03400826676877655,0.03400826676877655,1.073692676982579,0.0004,1.0707291867258597,0.033608266768776554
16,16,IC1505.CCFX,2015-05-11,IH1505.CCFX,8291.62,8296.75,0.0006186969494501593,8489.8,0.03430715625837566,3112.2399,3091.2,-0.006760372167968209,3160.0,0.0202104991283012,0.007379069117418369,1.0,0.014096657130074462,0.014096657130074462,1.0888281545130742,0.0,1.0858228889502977,0.014096657130074462
17,17,IC1505.CCFX,2015-05-12,IH1505.CCFX,8595.08,8659.06,0.007443793426006541,8647.8,0.01402406134940537,3162.67,3160.02,-0.0008378996227871305,3175.0,0.005319485783040978,0.00828169304879367,1.0,0.008704575566364392,0.008704575566364392,1.0983059414628185,0.0,1.0952745163388535,0.008704575566364392
18,18,IC1505.CCFX,2015-05-13,IH1505.CCFX,8719.58,8693.2,-0.0030253750754049014,8695.8,0.01805282382691753,3188.06,3179.27,-0.0027571626631870405,3125.4,-0.017107994213472533,-0.00026821241221786085,-1.0,0.03516081804039006,-0.03516081804039006,1.059688606102365,0.0004,1.0563256585590515,-0.03556081804039006
19,19,IC1505.CCFX,2015-05-14,IH1505.CCFX,8829.83,8855.92,0.0029547567733467783,8760.4,-0.003344786001956757,3136.13,3134.18,-0.0006217854489450891,3129.4,0.0003836071862413082,0.003576542222291867,1.0,-0.0037283931881980648,-0.0037283931881980648,1.0557376703217618,0.0004,1.0519647309057374,-0.004128393188198065
20,20,IC1505.CCFX,2015-05-15,IH1505.CCFX,8783.23,8718.54,-0.0073651720380769605,8755.2,0.0042670337233310365,3122.89,3118.92,-0.001271258353640281,3073.2,-0.017204988807163483,-0.0060939136844366795,-1.0,0.02147202253049452,-0.02147202253049452,1.0330688472783212,0.0004,1.0289561346100815,-0.02187202253049452
21,21,IC1506.CCFX,2015-05-18,IH1506.CCFX,8723.06,8763.4,0.004624523962921234,8798.4,0.012474108170310584,3032.71,3025.44,-0.002397195907290817,2969.4,-0.01922314704716599,0.007021719870212051,1.0,0.03169725521747657,0.03169725521747657,1.0658142941877264,0.0004,1.0611596373625614,0.031297255217476574
22,22,IC1506.CCFX,2015-05-19,IH1506.CCFX,8929.76,8958.86,0.003258766193044327,9120.8,0.03436231259497835,2996.84,3019.43,0.0075379399634281094,3143.0,0.04446364482254417,-0.004279173770383782,-1.0,-0.010101332227565818,0.010101332227565818,1.0765804384662052,0.0004,1.071454299551099,0.009701332227565819
23,23,IC1506.CCFX,2015-05-20,IH1506.CCFX,9176.03,9221.39,0.004943314265537291,9286.8,0.0027858762552639416,3127.57,3118.4699,-0.0029096391127936268,3145.2,0.005177372962607896,0.007852953378330918,1.0,-0.0023914967073439537,-0.0023914967073439537,1.0740057998924224,0.0004,1.0684633384018325,-0.002791496707343954
24,24,IC1506.CCFX,2015-05-21,IH1506.CCFX,9320.84,9389.11,0.007324447152831759,9734.6,0.034077630712358475,3132.34,3130.3,-0.0006512702963279438,3191.4,0.010576314122862527,0.007975717449159703,1.0,0.023501316589495943,0.023501316589495943,1.099246350214649,0.0,1.0935736335818838,0.023501316589495943
25,25,IC1506.CCFX,2015-05-22,IH1506.CCFX,9756.53,9769.69,0.001348840212657576,9741.2,-0.008004236338825521,3180.39,3182.73,0.0007357588220313628,3303.0,0.02781926811053026,0.0006130813906262134,1.0,-0.03582350444935578,-0.03582350444935578,1.0598674936967964,0.0,1.054397993653565,-0.03582350444935578
26,26,IC1506.CCFX,2015-05-25,IH1506.CCFX,9709.62,9772.65,0.006491500182293386,9966.6,0.0336652146857499,3263.96,3302.56,0.01182612532016325,3413.6,0.02412096483859361,-0.005334625137869864,-1.0,0.009544249847156294,-0.009544249847156294,1.049751853532075,0.0004,1.0439127965663337,-0.009944249847156294
27,27,IC1506.CCFX,2015-05-26,IH1506.CCFX,10120.59,10093.81,-0.002646090791149636,10532.2,0.03510565110565112,3382.76,3354.12,-0.008466459340893295,3417.8,-0.002684563758389213,0.0058203685497436606,1.0,0.03779021486404033,0.03779021486404033,1.0894222016309767,0.0004,1.0829449203292703,0.03739021486404033
28,28,IC1506.CCFX,2015-05-27,IH1506.CCFX,10421.3,10437.94,0.0015967297745964615,10552.0,-0.002552226108327837,3390.98,3395.32,0.0012798659974402329,3396.8,-0.02536439802593815,0.0003168637771562288,1.0,0.022812171917610317,0.022812171917610317,1.1142742881854442,0.0,1.1076492460291245,0.022812171917610317
29,29,IC1506.CCFX,2015-05-28,IH1506.CCFX,10501.36,10531.32,0.002852963806592612,9977.2,-0.06299774605559727,3336.7,3326.87,-0.0029460245152396203,3164.6,-0.06094955489614251,0.0057989883218322325,1.0,-0.00204819115945476,-0.00204819115945476,1.111992041439175,0.0,1.1053805686356308,-0.00204819115945476
30,30,IC1506.CCFX,2015-05-29,IH1506.CCFX,9860.04,9796.07,-0.006487803294915717,10121.0,0.0009494234230671416,3127.64,3097.19,-0.009735775217096563,3118.6,-0.0037694863276259705,0.003247971922180848,1.0,0.004718909750693112,0.004718909750693112,1.1172394315262155,0.0,1.1105967597791921,0.004718909750693112
31,31,IC1506.CCFX,2015-06-01,IH1506.CCFX,10067.91,10149.24,0.008078141342145573,11025.6,0.0729049083336577,3114.79,3102.6,-0.003913586469713848,3336.0,0.07377365778292777,0.01199172781185942,1.0,-0.0008687494492700676,-0.0008687494492700676,1.1162688303853743,0.0,1.1096319294557728,-0.0008687494492700676
32,32,IC1506.CCFX,2015-06-02,IH1506.CCFX,10591.83,10627.81,0.0033969578439230212,11250.4,0.016076008814710496,3240.8,3220.0,-0.00641816835349307,3295.6,0.0043886383030598,0.00981512619741609,1.0,0.011687370511650695,0.011687370511650695,1.1293150777966952,0.0,1.1226006089468803,0.011687370511650695
33,33,IC1506.CCFX,2015-06-03,IH1506.CCFX,10973.9599,10988.64,0.0013377213087866213,11103.2,-0.023585486395694355,3251.91,3232.98,-0.005821194313495703,3244.8,-0.012898515453881656,0.007158915622282325,1.0,-0.0106869709418127,-0.0106869709418127,1.117246120376131,0.0,1.1106034088598038,-0.0106869709418127
34,34,IC1506.CCFX,2015-06-04,IH1506.CCFX,10984.02,10924.09,-0.005456108055156506,10869.2,-0.013666309733388893,3244.46,3231.79,-0.003905118263131668,3373.2,0.03835498368527968,-0.0015509897920248372,-1.0,-0.05202129341866857,0.05202129341866857,1.1753667086250867,0.0004,1.1679341933003293,0.05162129341866857
35,35,IC1506.CCFX,2015-06-05,IH1506.CCFX,11117.36,11156.3799,0.0035098170788747662,10949.0,-0.01753346972470471,3349.57,3333.69,-0.004740907041799414,3304.8,-0.01806512954599471,0.00825072412067418,1.0,0.0005316598212899981,0.0005316598212899981,1.1759916038793448,0.0004,1.1680879633074976,0.0001316598212899981
36,36,IC1506.CCFX,2015-06-08,IH1506.CCFX,11157.18,11092.44,-0.005802541502422653,10602.6,-0.018913667067641304,3333.83,3329.11,-0.0014157890474318926,3535.0,0.05629594215024202,-0.004386752454990761,-1.0,-0.07520960921788332,0.07520960921788332,1.264437472850622,0.0004,1.2554721673746447,0.07480960921788332
37,37,IC1506.CCFX,2015-06-09,IH1506.CCFX,11003.16,11008.84,0.0005162153417745953,10700.4,-0.015457657060836903,3494.82,3472.5,-0.00638659501776917,3415.8,-0.02888497185421046,0.006902810359543765,1.0,0.013427314793373557,0.013427314793373557,1.2814154728351252,0.0004,1.2718275985133531,0.013027314793373558
38,38,IC1506.CCFX,2015-06-10,IH1506.CCFX,10944.32,10917.4599,-0.0024542502412210343,10987.8,0.02706997438821479,3362.81,3365.82,0.0008950847654194404,3365.0,-0.008427628477133409,-0.003349335006640475,-1.0,0.0354976028653482,-0.0354976028653482,1.2359282952749115,0.0004,1.2261720364687314,-0.0358976028653482
39,39,IC1506.CCFX,2015-06-11,IH1506.CCFX,11220.07,11267.67,0.004242397774701923,11258.8,0.008943453714490568,3369.0,3369.58,0.00017215791035907202,3361.0,-0.008437573755015304,0.004070239864342851,1.0,0.017381027469505872,0.017381027469505872,1.2574099989254244,0.0004,1.246993697502347,0.01698102746950587
40,40,IC1506.CCFX,2015-06-12,IH1506.CCFX,11424.33,11453.2099,0.002527929427808884,11427.8,0.002931264480797502,3364.44,3365.49,0.0003120875985305193,3405.2,0.003713965690031129,0.0022158418292783644,1.0,-0.0007827012092336273,-0.0007827012092336273,1.256425822598763,0.0,1.2460176740274052,-0.0007827012092336273
41,41,IC1506.CCFX,2015-06-15,IH1506.CCFX,11589.95,11612.08,0.0019094128965180255,11228.6,-0.028449305207053462,3359.71,3349.64,-0.00299728250354947,3263.8,-0.03483558079015847,0.0049066954000674965,1.0,0.006386275583105006,0.006386275583105006,1.264449704151608,0.0,1.2539750862751637,0.006386275583105006
42,42,IC1506.CCFX,2015-06-16,IH1506.CCFX,11205.75,11110.51,-0.008499207995894986,10839.0,-0.01519143755337904,3233.15,3237.9699,0.0014907752501429614,3193.4,-0.016931412387636957,-0.009989983246037948,-1.0,0.001739974834257918,-0.001739974834257918,1.2622495934871993,0.0004,1.2512916111477486,-0.002139974834257918
43,43,IC1506.CCFX,2015-06-17,IH1506.CCFX,10865.39,10861.29,-0.00037734494574037663,11033.4,0.02111946100025897,3198.14,3197.7199,-0.00013135760160587484,3205.4,-0.0016818238445247544,-0.0002459873441345017,-1.0,0.02280128484478372,-0.02280128484478372,1.2334686809608852,0.0,1.2227605546980804,-0.02280128484478372
44,44,IC1506.CCFX,2015-06-18,IH1506.CCFX,11081.57,11097.28,0.0014176691569878221,10672.6,-0.03725553871689402,3183.23,3172.15,-0.003480741259663911,3085.4,-0.0289544910933468,0.004898410416651733,1.0,-0.00830104762354722,-0.00830104762354722,1.223229598698075,0.0004,1.2121212568794575,-0.008701047623547219
45,45,IC1507.CCFX,2015-06-19,IH1507.CCFX,10475.92,10581.74,0.010101260796187894,9990.0,-0.05506895442764992,3030.2199,3066.62,0.012012362535141373,2860.0,-0.07461334368730987,-0.0019111017389534801,-1.0,0.01954438925965996,-0.01954438925965996,1.1993223232671821,0.0004,1.1879462387023454,-0.01994438925965996
46,46,IC1507.CCFX,2015-06-23,IH1507.CCFX,9951.78,9780.22,-0.01723912707073516,9862.6,-0.0011140819964349236,2907.07,2881.19,-0.008902434409904125,2982.6,0.0287665562913908,-0.008336692660831034,-1.0,-0.029880638287825726,0.029880638287825726,1.2351588397992437,0.0,1.2234428305663934,0.029880638287825726
47,47,IC1507.CCFX,2015-06-24,IH1507.CCFX,10136.25,10197.47,0.006039708965347002,10058.0,-0.01009782886837396,3009.77,2996.85,-0.004292686816600666,3044.2,0.01331469276346442,0.01033239578194767,1.0,-0.023412521631838382,-0.023412521631838382,1.2062406567436874,0.0004,1.1943095716982135,-0.023812521631838383
48,48,IC1507.CCFX,2015-06-25,IH1507.CCFX,10298.56,10243.98,-0.0052997700649410895,9381.6,-0.06114524748313754,3069.4,3063.4,-0.0019547794357203108,2919.2,-0.05048139474368996,-0.0033449906292207787,-1.0,-0.010663852739447588,0.010663852739447588,1.2191038294755367,0.0004,1.2065677892674367,0.010263852739447589
49,49,IC1507.CCFX,2015-06-26,IH1507.CCFX,9571.56,9536.54,-0.003658755730518215,8629.0,-0.06114677401806112,2875.12,2881.12,0.0020868694176243707,2690.0,-0.06558288175628735,-0.005745625148142586,-1.0,0.004436107738226225,-0.004436107738226225,1.213695753543899,0.0,1.2012153245607728,-0.004436107738226225
50,50,IC1507.CCFX,2015-06-29,IH1507.CCFX,9267.03,8926.22,-0.036776615593129725,7768.4,-0.0696304103092289,2802.77,2742.91,-0.02135744281550045,2654.8,-0.03769754965927219,-0.015419172777629275,-1.0,-0.031932860649956714,0.031932860649956714,1.2524525309132606,0.0,1.2395735661305645,0.031932860649956714
51,51,IC1507.CCFX,2015-06-30,IH1507.CCFX,8302.18,8237.7099,-0.007765442329605077,8346.0,0.055120101137800186,2678.63,2703.2399,0.00918749510010719,2847.8,0.04529437674350323,-0.016952937429712267,-1.0,0.009825724394296964,-0.009825724394296964,1.2401462775275671,0.0,1.2273938579033097,-0.009825724394296964
52,52,IC1507.CCFX,2015-07-01,IH1507.CCFX,8808.51,8973.6299,0.018745497252089068,7509.4,-0.12724018502591772,2823.94,2850.96,0.009568191958752692,2696.2,-0.0513686580817676,0.00917730529333638,1.0,-0.07587152694415011,-0.07587152694415011,1.1460544858174468,0.0004,1.133778654199153,-0.07627152694415011
