,instrumentID_IC,tradedate,instrumentID_IH,ICopen,ICopen2,ICopen_ret,ICclose,IC_rest_of_the_day,IHopen,IHopen2,IHopen_ret,IHclose,IH_rest_of_the_day,dopen,signal,drest,ret,cum,fee,fee_cum,fee_ret
8,IC1505.CCFX,2015-04-28,IH1505.CCFX,8409.0,8314.0,-0.011297419431561373,8147.0,-0.020086600914120734,3324.8,3312.4,-0.0037295476419634266,3286.8,-0.007728535201062647,-0.007567871789597946,-1.0,-0.012358065713058086,0.012358065713058086,1.0760570242994973,0.0004,1.0756318557506435,0.011958065713058087
9,IC1505.CCFX,2015-04-29,IH1505.CCFX,8120.0,8173.0,0.006527093596059075,8302.2,0.01580814878257697,3291.2,3287.2,-0.001215362177929058,3295.2,0.0024336821611097292,0.007742455773988133,1.0,0.01337446662146724,0.01337446662146724,1.0904487130537863,0.0004,1.089587605360067,0.012974466621467241
10,IC1505.CCFX,2015-04-30,IH1505.CCFX,8369.6,8382.0,0.0014815522844580098,8338.8,-0.005153901216893408,3319.2,3310.2,-0.0027114967462038564,3269.4,-0.01232553924234181,0.004193049030661866,1.0,0.007171638025448401,0.007171638025448401,1.0982690165091242,0.0,1.0974017332627246,0.007171638025448401
11,IC1505.CCFX,2015-05-04,IH1505.CCFX,8338.0,8252.8,-0.010218277764451944,8347.2,0.011438542070570268,3276.4,3235.0,-0.012635819802221948,3273.2,0.011808346213292076,0.002417542037770004,1.0,-0.00036980414272180795,-0.00036980414272180795,1.097862872076996,0.0,1.096995909555534,-0.00036980414272180795
12,IC1505.CCFX,2015-05-05,IH1505.CCFX,8317.8,8264.0,-0.006468056457236249,8145.0,-0.014399806389157832,3269.6,3265.8,-0.0011622216784926698,3163.0,-0.03147773899197748,-0.005305834778743579,-1.0,0.017077932602819645,-0.017077932602819645,1.0791136439405271,0.0004,1.0778226889827536,-0.017477932602819646
13,IC1505.CCFX,2015-05-06,IH1505.CCFX,8200.2,8200.0,-2.4389649033063066e-05,8040.8,-0.01941463414634148,3186.6,3173.4,-0.004142346074185621,3153.0,-0.006428436377387103,0.004117956425152558,1.0,-0.012986197768954377,-0.012986197768954377,1.0651000607451384,0.0004,1.0633947413081644,-0.013386197768954377
14,IC1505.CCFX,2015-05-07,IH1505.CCFX,8013.6,7998.4,-0.0018967754816812121,7911.4,-0.010877175435087039,3139.2,3136.8,-0.0007645259938836579,3111.2,-0.008161183371588998,-0.0011322494877975542,-1.0,-0.0027159920634980406,0.0027159920634980406,1.0679928640569536,0.0004,1.0658575550893996,0.0023159920634980404
15,IC1505.CCFX,2015-05-08,IH1505.CCFX,7991.4,7981.8,-0.0012012913882423204,8171.2,0.023728983437319773,3138.2,3122.8,-0.004907271684404968,3099.8,-0.007365185090303594,0.0037059802961626476,1.0,0.031094168527623367,0.031094168527623367,1.1012012141582397,0.0004,1.0985731665117544,0.030694168527623366
16,IC1505.CCFX,2015-05-11,IH1505.CCFX,8194.4,8183.2,-0.0013667870740993182,8489.8,0.03746700557239224,3097.2,3086.0,-0.003616169443368178,3160.0,0.023979261179520428,0.0022493823692688597,1.0,0.013487744392871814,0.013487744392871814,1.116053934659926,0.0,1.1133904405785326,0.013487744392871814
17,IC1505.CCFX,2015-05-12,IH1505.CCFX,8496.6,8530.0,0.003930984158369233,8647.8,0.013810082063305806,3152.4,3159.2,0.0021570866641287267,3175.0,0.00500126614332741,0.0017738974942405061,1.0,0.008808815919978397,0.008808815919978397,1.125885048327113,0.0,1.1231980920166527,0.008808815919978397
18,IC1505.CCFX,2015-05-13,IH1505.CCFX,8521.8,8566.2,0.005210166866155275,8695.8,0.015129228829585895,3191.2,3174.8,-0.005139132614690234,3125.4,-0.0155600352778128,0.010349299480845509,1.0,0.030689264107398695,0.030689264107398695,1.1604376319297953,0.0,1.1576682149074782,0.030689264107398695
19,IC1505.CCFX,2015-05-14,IH1505.CCFX,8737.8,8770.6,0.0037538053056835885,8760.4,-0.0011629763072082966,3123.6,3123.4,-6.402868485078095e-05,3129.4,0.001920983543574284,0.0038178339905343694,1.0,-0.0030839598507825805,-0.0030839598507825805,1.1568588888635867,0.0,1.1540980126121765,-0.0030839598507825805
20,IC1505.CCFX,2015-05-15,IH1505.CCFX,8744.2,8717.0,-0.0031106333340957804,8755.2,0.004382241596879721,3124.0,3126.2,0.0007042253521125641,3073.2,-0.016953489859893756,-0.0038148586862083445,-1.0,0.021335731456773477,-0.021335731456773477,1.1321764582774119,0.0004,1.1290128481352424,-0.021735731456773478
21,IC1506.CCFX,2015-05-18,IH1506.CCFX,8611.6,8701.0,0.010381346091318688,8798.4,0.011194115618894385,3020.2,3029.2,0.002979935103635478,2969.4,-0.01974118579162809,0.00740141098768321,1.0,0.030935301410522476,0.030935301410522476,1.1672006782641213,0.0004,1.1634875957494044,0.030535301410522474
