,Unnamed: 0,instrumentID_IC,tradedate,instrumentID_IH,ICopen,ICopen2,ICopen_ret,ICclose,IC_rest_of_the_day,IHopen,IHopen2,IHopen_ret,IHclose,IH_rest_of_the_day,dopen,signal,drest,ret,cum,fee,fee_cum,fee_ret
0,0,IC1505.CCFX,2015-04-16,IH1505.CCFX,7705.46,7627.46,-0.010122692220840834,7707.8,0.023693787021542345,3045.85,3072.92,0.008887502667564107,3283.8,0.059221985678343365,-0.01901019488840494,-1.0,-0.03552819865680101,0.03552819865680101,1.0,0.0,1.0,0.03552819865680101
1,1,IC1505.CCFX,2015-04-17,IH1505.CCFX,7979.35,7995.3,0.0019989096856261046,7758.2,0.004531800290035193,3251.98,3251.2199,-0.00023373452481256773,3254.0,-0.01987951807228916,0.0022326442104386728,1.0,0.024411318362324352,0.024411318362324352,1.0244113183623242,0.0004,1.0240113183623243,0.02401131836232435
2,2,IC1505.CCFX,2015-04-20,IH1505.CCFX,7960.26,7838.09,-0.015347488649868237,7622.2,-0.011644190871369364,3267.85,3230.76,-0.011349970163869072,3146.8,-0.035847784790734694,-0.003997518485999163,-1.0,0.024203593919365333,-0.024203593919365333,0.9996168828062809,0.0004,0.9988169597165037,-0.024603593919365334
3,3,IC1505.CCFX,2015-04-21,IH1505.CCFX,7850.03,7931.42,0.010368113242879451,8140.4,0.06003073156757033,3163.29,3180.87,0.005557505002702801,3234.0,0.009993753903810187,0.00481060824017665,1.0,0.05003697766376014,0.05003697766376014,1.0496346904435763,0.0004,1.0483952148361366,0.04963697766376014
4,4,IC1505.CCFX,2015-04-22,IH1505.CCFX,8180.12,8214.18,0.004163753098976653,8189.8,0.007281135463557353,3219.7,3220.87,0.0003633878932820521,3308.0,0.01634509032813081,0.0038003652056946,1.0,-0.009063954864573455,-0.009063954864573455,1.0401208489851053,0.0,1.0388926079286271,-0.009063954864573455
5,5,IC1505.CCFX,2015-04-23,IH1505.CCFX,8371.07,8367.04,-0.00048141993795280946,8265.6,0.004569761789013249,3311.07,3313.4899,0.0007308513562080954,3267.8,-0.02149958078811831,-0.0012122712941609046,-1.0,0.02606934257713156,-0.02606934257713156,1.0130055822512956,0.0004,1.0113938035885148,-0.02646934257713156
6,6,IC1505.CCFX,2015-04-24,IH1505.CCFX,8321.33,8338.22,0.002029723613893309,8327.2,0.01777115060255685,3226.38,3243.78,0.005393041117289332,3233.0,-0.008038782523318577,-0.003363317503396024,-1.0,0.025809933125875432,-0.025809933125875432,0.9868599759172512,0.0,0.9852897971539705,-0.025809933125875432
7,7,IC1505.CCFX,2015-04-27,IH1505.CCFX,8509.05,8523.55,0.001704068021694649,8347.2,-0.013333333333333195,3257.9699,3260.2199,0.0006906141152500657,3357.6,0.024470616952462217,0.0010134539064445836,1.0,-0.03780395028579542,-0.03780395028579542,0.9495527704486342,0.0004,0.9476478347263988,-0.038203950285795416
8,8,IC1505.CCFX,2015-04-28,IH1505.CCFX,8533.67,8538.08,0.0005167764865525727,8147.0,-0.0300035718537921,3309.53,3312.56,0.0009155378558283187,3286.8,-0.014275431861804244,-0.0003987613692757464,-1.0,-0.015728139991987855,0.015728139991987855,0.9644874693520303,0.0004,0.9621735134001892,0.015328139991987856
9,9,IC1505.CCFX,2015-04-29,IH1505.CCFX,8242.11,8243.28,0.00014195394140581466,8302.2,0.02163319551092746,3268.52,3279.2399,0.003279741289635707,3295.2,0.0010328695546508726,-0.003137787348229893,-1.0,0.020600325956276592,-0.020600325956276592,0.9446187131026342,0.0,0.9423524253976494,-0.020600325956276592
10,10,IC1505.CCFX,2015-04-30,IH1505.CCFX,8460.39,8492.16,0.003755146039366997,8338.8,-0.006576125804145905,3290.58,3295.59,0.0015225279434021302,3269.4,-0.015062963186117996,0.0022326180959648667,1.0,0.00848683738197209,0.00848683738197209,0.9526355385087042,0.0004,0.9499730762183471,0.00808683738197209
11,11,IC1505.CCFX,2015-05-04,IH1505.CCFX,8495.22,8515.75,0.002416653129642343,8347.2,-0.0013877590084699911,3250.12,3257.94,0.002406065006830493,3273.2,-0.001647044470200698,1.0588122811849844e-05,1.0,0.00025928546173070716,0.00025928546173070716,0.9528825430541675,0.0,0.9502193904260462,0.00025928546173070716
12,12,IC1505.CCFX,2015-05-05,IH1505.CCFX,8501.12,8477.1,-0.002825510050440516,8145.0,-0.022513981230348312,3266.81,3255.2199,-0.003547834125645521,3163.0,-0.03266254816808378,0.0007223240752050053,1.0,0.01014856693773547,0.01014856693773547,0.9625529353261524,0.0,0.9598627555153191,0.01014856693773547
13,13,IC1505.CCFX,2015-05-06,IH1505.CCFX,8220.6,8267.51,0.005706396126803348,8040.8,-0.023107763333738318,3175.89,3178.63,0.0008627502841724867,3153.0,-0.010916619612271859,0.0048436458426308615,1.0,-0.012191143721466458,-0.012191143721466458,0.9508183141520719,0.0,0.948160930709949,-0.012191143721466458
14,14,IC1505.CCFX,2015-05-07,IH1505.CCFX,8043.01,8075.75,0.004070615354201834,7911.4,-0.013073526109627977,3116.79,3128.86,0.0038725740264824453,3111.2,-0.011250238352507493,0.0001980413277193893,1.0,-0.001823287757120484,-0.001823287757120484,0.9490846987606324,0.0,0.9464321604932056,-0.001823287757120484
15,15,IC1505.CCFX,2015-05-08,IH1505.CCFX,7989.34,8023.39,0.004261929020419775,8171.2,0.021527690961370197,3126.0,3124.0,-0.0006397952655150531,3099.8,-0.012991148188244206,0.004901724285934828,1.0,0.0345188391496144,0.0345188391496144,0.981846000816511,0.0,0.9791019000072927,0.0345188391496144
16,16,IC1505.CCFX,2015-05-11,IH1505.CCFX,8291.62,8291.68,7.2362216310128966e-06,8489.8,0.033199464524765736,3112.2399,3102.1,-0.00325807146165058,3160.0,0.0179100631361937,0.003265307683281593,1.0,0.015289401388572044,0.015289401388572044,0.9968578384247588,0.0,0.9940717819568177,0.015289401388572044
17,17,IC1505.CCFX,2015-05-12,IH1505.CCFX,8595.08,8580.78,-0.0016637425131585948,8647.8,0.017579779723241984,3162.67,3153.15,-0.003010114871295433,3175.0,0.007233043588604771,0.001346372358136838,1.0,0.010346736134637213,0.010346736134637213,1.0071720634426846,0.0,1.0043571803836135,0.010346736134637213
18,18,IC1505.CCFX,2015-05-13,IH1505.CCFX,8719.58,8677.95,-0.004774312524226998,8695.8,0.018840070298769662,3188.06,3186.85,-0.00037954116296434753,3125.4,-0.020619202807721115,-0.00439477136126265,-1.0,0.039459273106490785,-0.039459273106490785,0.9674297859260719,0.0004,0.9643242332342381,-0.03985927310649078
19,19,IC1505.CCFX,2015-05-14,IH1505.CCFX,8829.83,8864.01,0.00387096920325769,8760.4,-0.001914050038736903,3136.13,3145.06,0.0028474584918354306,3129.4,-0.0013403114628541823,0.0010235107114222595,1.0,-0.0005737385758827207,-0.0005737385758827207,0.9668747341384282,0.0004,0.9633852335286794,-0.0009737385758827207
20,20,IC1505.CCFX,2015-05-15,IH1505.CCFX,8783.23,8751.84,-0.00357385608711136,8755.2,0.003921568627450967,3122.89,3122.12,-0.000246566481688415,3073.2,-0.017519181585677782,-0.003327289605422945,-1.0,0.021440750213128745,-0.021440750213128745,0.9461442144763809,0.0004,0.9423441772841629,-0.021840750213128746
21,21,IC1506.CCFX,2015-05-18,IH1506.CCFX,8723.06,8759.67,0.0041969217224231406,8798.4,0.015840761095460062,3032.71,3034.14,0.000471525467321321,2969.4,-0.01941747572815522,0.003725396255101821,1.0,0.03525823682361528,0.03525823682361528,0.9795035912596824,0.0004,0.9751926337852891,0.03485823682361528
