,instrumentID_IC,tradedate,instrumentID_IH
144,IC1511    ,2015/11/17,IH1511    
145,IC1511    ,2015/11/18,IH1511    
146,IC1511    ,2015/11/19,IH1511    
147,IC1512    ,2015/11/20,IH1512    
148,IC1512    ,2015/11/23,IH1512    
149,IC1512    ,2015/11/24,IH1512    
150,IC1512    ,2015/11/25,IH1512    
151,IC1512    ,2015/11/26,IH1512    
152,IC1512    ,2015/11/27,IH1512    
153,IC1512    ,2015/11/30,IH1512    
154,IC1512    ,2015/12/1,IH1512    
155,IC1512    ,2015/12/2,IH1512    
156,IC1512    ,2015/12/3,IH1512    
157,IC1512    ,2015/12/4,IH1512    
158,IC1512    ,2015/12/7,IH1512    
159,IC1512    ,2015/12/8,IH1512    
160,IC1512    ,2015/12/9,IH1512    
161,IC1512    ,2015/12/10,IH1512    
162,IC1512    ,2015/12/11,IH1512    
163,IC1512    ,2015/12/14,IH1512    
164,IC1512    ,2015/12/15,IH1512    
165,IC1512    ,2015/12/16,IH1512    
166,IC1512    ,2015/12/17,IH1512    
167,IC1601    ,2015/12/18,IH1601    
168,IC1601    ,2015/12/21,IH1601    
169,IC1601    ,2015/12/22,IH1601    
170,IC1601    ,2015/12/23,IH1601    
171,IC1601    ,2015/12/24,IH1601    
172,IC1601    ,2015/12/25,IH1601    
173,IC1601    ,2015/12/28,IH1601    
174,IC1601    ,2015/12/29,IH1601    
175,IC1601    ,2015/12/30,IH1601    
176,IC1601    ,2015/12/31,IH1601    
177,IC1601    ,2016/1/4,IH1601    
178,IC1601    ,2016/1/5,IH1601    
179,IC1601    ,2016/1/6,IH1601    
180,IC1601    ,2016/1/7,IH1601    
181,IC1601    ,2016/1/8,IH1601    
182,IC1601    ,2016/1/11,IH1601    
183,IC1601    ,2016/1/12,IH1601    
184,IC1601    ,2016/1/13,IH1601    
185,IC1601    ,2016/1/14,IH1601    
186,IC1602    ,2016/1/15,IH1602    
187,IC1602    ,2016/1/18,IH1602    
188,IC1602    ,2016/1/19,IH1602    
189,IC1602    ,2016/1/20,IH1602    
190,IC1602    ,2016/1/21,IH1602    
191,IC1602    ,2016/1/22,IH1602    
192,IC1602    ,2016/1/25,IH1602    
193,IC1602    ,2016/1/26,IH1602    
194,IC1602    ,2016/1/27,IH1602    
195,IC1602    ,2016/1/28,IH1602    
196,IC1602    ,2016/1/29,IH1602    
197,IC1602    ,2016/2/1,IH1602    
198,IC1602    ,2016/2/2,IH1602    
199,IC1602    ,2016/2/3,IH1602    
200,IC1602    ,2016/2/4,IH1602    
201,IC1602    ,2016/2/5,IH1602    
202,IC1602    ,2016/2/15,IH1602    
203,IC1602    ,2016/2/16,IH1602    
204,IC1602    ,2016/2/17,IH1602    
205,IC1602    ,2016/2/18,IH1602    
206,IC1603    ,2016/2/19,IH1603    
207,IC1603    ,2016/2/22,IH1603    
208,IC1603    ,2016/2/23,IH1603    
209,IC1603    ,2016/2/24,IH1603    
210,IC1603    ,2016/2/25,IH1603    
211,IC1603    ,2016/2/26,IH1603    
212,IC1603    ,2016/2/29,IH1603    
213,IC1603    ,2016/3/1,IH1603    
214,IC1603    ,2016/3/2,IH1603    
215,IC1603    ,2016/3/3,IH1603    
216,IC1603    ,2016/3/4,IH1603    
217,IC1603    ,2016/3/7,IH1603    
218,IC1603    ,2016/3/8,IH1603    
219,IC1603    ,2016/3/9,IH1603    
220,IC1603    ,2016/3/10,IH1603    
221,IC1603    ,2016/3/11,IH1603    
222,IC1603    ,2016/3/14,IH1603    
223,IC1603    ,2016/3/15,IH1603    
224,IC1603    ,2016/3/16,IH1603    
225,IC1603    ,2016/3/17,IH1603    
226,IC1604    ,2016/3/18,IH1604    
227,IC1604    ,2016/3/21,IH1604    
228,IC1604    ,2016/3/22,IH1604    
229,IC1604    ,2016/3/23,IH1604    
230,IC1604    ,2016/3/24,IH1604    
231,IC1604    ,2016/3/25,IH1604    
232,IC1604    ,2016/3/28,IH1604    
233,IC1604    ,2016/3/29,IH1604    
234,IC1604    ,2016/3/30,IH1604    
235,IC1604    ,2016/3/31,IH1604    
236,IC1604    ,2016/4/1,IH1604    
237,IC1604    ,2016/4/5,IH1604    
238,IC1604    ,2016/4/6,IH1604    
239,IC1604    ,2016/4/7,IH1604    
240,IC1604    ,2016/4/8,IH1604    
241,IC1604    ,2016/4/11,IH1604    
242,IC1604    ,2016/4/12,IH1604    
243,IC1604    ,2016/4/13,IH1604    
244,IC1604    ,2016/4/14,IH1604    
245,IC1605    ,2016/4/15,IH1605    
246,IC1605    ,2016/4/18,IH1605    
247,IC1605    ,2016/4/19,IH1605    
248,IC1605    ,2016/4/20,IH1605    
249,IC1605    ,2016/4/21,IH1605    
250,IC1605    ,2016/4/22,IH1605    
251,IC1605    ,2016/4/25,IH1605    
252,IC1605    ,2016/4/26,IH1605    
253,IC1605    ,2016/4/27,IH1605    
254,IC1605    ,2016/4/28,IH1605    
255,IC1605    ,2016/4/29,IH1605    
256,IC1605    ,2016/5/3,IH1605    
257,IC1605    ,2016/5/4,IH1605    
258,IC1605    ,2016/5/5,IH1605    
259,IC1605    ,2016/5/6,IH1605    
260,IC1605    ,2016/5/9,IH1605    
261,IC1605    ,2016/5/10,IH1605    
262,IC1605    ,2016/5/11,IH1605    
263,IC1605    ,2016/5/12,IH1605    
264,IC1605    ,2016/5/13,IH1605    
265,IC1605    ,2016/5/16,IH1605    
266,IC1605    ,2016/5/17,IH1605    
267,IC1605    ,2016/5/18,IH1605    
268,IC1605    ,2016/5/19,IH1605    
269,IC1606    ,2016/5/20,IH1606    
270,IC1606    ,2016/5/23,IH1606    
271,IC1606    ,2016/5/24,IH1606    
272,IC1606    ,2016/5/25,IH1606    
273,IC1606    ,2016/5/26,IH1606    
274,IC1606    ,2016/5/27,IH1606    
275,IC1606    ,2016/5/30,IH1606    
276,IC1606    ,2016/5/31,IH1606    
277,IC1606    ,2016/6/1,IH1606    
278,IC1606    ,2016/6/2,IH1606    
279,IC1606    ,2016/6/3,IH1606    
280,IC1606    ,2016/6/6,IH1606    
281,IC1606    ,2016/6/7,IH1606    
282,IC1606    ,2016/6/8,IH1606    
283,IC1606    ,2016/6/13,IH1606    
284,IC1606    ,2016/6/14,IH1606    
285,IC1606    ,2016/6/15,IH1606    
286,IC1606    ,2016/6/16,IH1606    
287,IC1607    ,2016/6/17,IH1607    
288,IC1607    ,2016/6/20,IH1607    
289,IC1607    ,2016/6/21,IH1607    
290,IC1607    ,2016/6/22,IH1607    
291,IC1607    ,2016/6/23,IH1607    
292,IC1607    ,2016/6/24,IH1607    
293,IC1607    ,2016/6/27,IH1607    
294,IC1607    ,2016/6/28,IH1607    
295,IC1607    ,2016/6/29,IH1607    
296,IC1607    ,2016/6/30,IH1607    
297,IC1607    ,2016/7/1,IH1607    
298,IC1607    ,2016/7/4,IH1607    
299,IC1607    ,2016/7/5,IH1607    
300,IC1607    ,2016/7/6,IH1607    
301,IC1607    ,2016/7/7,IH1607    
302,IC1607    ,2016/7/8,IH1607    
303,IC1607    ,2016/7/11,IH1607    
304,IC1607    ,2016/7/12,IH1607    
305,IC1607    ,2016/7/13,IH1607    
306,IC1607    ,2016/7/14,IH1607    
307,IC1608    ,2016/7/15,IH1608    
308,IC1608    ,2016/7/18,IH1608    
309,IC1608    ,2016/7/19,IH1608    
310,IC1608    ,2016/7/20,IH1608    
311,IC1608    ,2016/7/21,IH1608    
312,IC1608    ,2016/7/22,IH1608    
313,IC1608    ,2016/7/25,IH1608    
314,IC1608    ,2016/7/26,IH1608    
315,IC1608    ,2016/7/27,IH1608    
316,IC1608    ,2016/7/28,IH1608    
317,IC1608    ,2016/7/29,IH1608    
318,IC1608    ,2016/8/1,IH1608    
319,IC1608    ,2016/8/2,IH1608    
320,IC1608    ,2016/8/3,IH1608    
321,IC1608    ,2016/8/4,IH1608    
322,IC1608    ,2016/8/5,IH1608    
323,IC1608    ,2016/8/8,IH1608    
324,IC1608    ,2016/8/9,IH1608    
325,IC1608    ,2016/8/10,IH1608    
326,IC1608    ,2016/8/11,IH1608    
327,IC1608    ,2016/8/12,IH1608    
328,IC1608    ,2016/8/15,IH1608    
329,IC1608    ,2016/8/16,IH1608    
330,IC1608    ,2016/8/17,IH1608    
331,IC1608    ,2016/8/18,IH1608    
332,IC1609    ,2016/8/19,IH1609    
333,IC1609    ,2016/8/22,IH1609    
334,IC1609    ,2016/8/23,IH1609    
335,IC1609    ,2016/8/24,IH1609    
336,IC1609    ,2016/8/25,IH1609    
337,IC1609    ,2016/8/26,IH1609    
338,IC1609    ,2016/8/29,IH1609    
339,IC1609    ,2016/8/30,IH1609    
340,IC1609    ,2016/8/31,IH1609    
341,IC1609    ,2016/9/1,IH1609    
342,IC1609    ,2016/9/2,IH1609    
343,IC1609    ,2016/9/5,IH1609    
344,IC1609    ,2016/9/6,IH1609    
345,IC1609    ,2016/9/7,IH1609    
346,IC1609    ,2016/9/8,IH1609    
347,IC1609    ,2016/9/9,IH1609    
348,IC1609    ,2016/9/12,IH1609    
349,IC1609    ,2016/9/13,IH1609    
350,IC1609    ,2016/9/14,IH1609    
351,IC1610    ,2016/9/19,IH1610    
352,IC1610    ,2016/9/20,IH1610    
353,IC1610    ,2016/9/21,IH1610    
354,IC1610    ,2016/9/22,IH1610    
355,IC1610    ,2016/9/23,IH1610    
356,IC1610    ,2016/9/26,IH1610    
357,IC1610    ,2016/9/27,IH1610    
358,IC1610    ,2016/9/28,IH1610    
359,IC1610    ,2016/9/29,IH1610    
360,IC1610    ,2016/9/30,IH1610    
361,IC1610    ,2016/10/10,IH1610    
362,IC1610    ,2016/10/11,IH1610    
363,IC1610    ,2016/10/12,IH1610    
364,IC1610    ,2016/10/13,IH1610    
365,IC1610    ,2016/10/14,IH1610    
366,IC1610    ,2016/10/17,IH1610    
367,IC1610    ,2016/10/18,IH1610    
368,IC1610    ,2016/10/19,IH1610    
369,IC1610    ,2016/10/20,IH1610    
370,IC1611    ,2016/10/21,IH1611    
371,IC1611    ,2016/10/24,IH1611    
372,IC1611    ,2016/10/25,IH1611    
373,IC1611    ,2016/10/26,IH1611    
374,IC1611    ,2016/10/27,IH1611    
375,IC1611    ,2016/10/28,IH1611    
376,IC1611    ,2016/10/31,IH1611    
377,IC1611    ,2016/11/1,IH1611    
378,IC1611    ,2016/11/2,IH1611    
379,IC1611    ,2016/11/3,IH1611    
380,IC1611    ,2016/11/4,IH1611    
381,IC1611    ,2016/11/7,IH1611    
382,IC1611    ,2016/11/8,IH1611    
383,IC1611    ,2016/11/9,IH1611    
384,IC1611    ,2016/11/10,IH1611    
385,IC1611    ,2016/11/11,IH1611    
386,IC1611    ,2016/11/14,IH1611    
387,IC1611    ,2016/11/15,IH1611    
388,IC1611    ,2016/11/16,IH1611    
389,IC1611    ,2016/11/17,IH1611    
390,IC1612    ,2016/11/18,IH1612    
391,IC1612    ,2016/11/21,IH1612    
392,IC1612    ,2016/11/22,IH1612    
393,IC1612    ,2016/11/23,IH1612    
394,IC1612    ,2016/11/24,IH1612    
395,IC1612    ,2016/11/25,IH1612    
396,IC1612    ,2016/11/28,IH1612    
397,IC1612    ,2016/11/29,IH1612    
398,IC1612    ,2016/11/30,IH1612    
399,IC1612    ,2016/12/1,IH1612    
400,IC1612    ,2016/12/2,IH1612    
401,IC1612    ,2016/12/5,IH1612    
402,IC1612    ,2016/12/6,IH1612    
403,IC1612    ,2016/12/7,IH1612    
404,IC1612    ,2016/12/8,IH1612    
405,IC1612    ,2016/12/9,IH1612    
406,IC1612    ,2016/12/12,IH1612    
407,IC1612    ,2016/12/13,IH1612    
408,IC1612    ,2016/12/14,IH1612    
409,IC1612    ,2016/12/15,IH1612    
410,IC1701    ,2016/12/16,IH1701    
411,IC1701    ,2016/12/19,IH1701    
412,IC1701    ,2016/12/20,IH1701    
413,IC1701    ,2016/12/21,IH1701    
414,IC1701    ,2016/12/22,IH1701    
415,IC1701    ,2016/12/23,IH1701    
416,IC1701    ,2016/12/26,IH1701    
417,IC1701    ,2016/12/27,IH1701    
418,IC1701    ,2016/12/28,IH1701    
419,IC1701    ,2016/12/29,IH1701    
420,IC1701    ,2016/12/30,IH1701    
421,IC1701    ,2017/1/3,IH1701    
422,IC1701    ,2017/1/4,IH1701    
423,IC1701    ,2017/1/5,IH1701    
424,IC1701    ,2017/1/6,IH1701    
425,IC1701    ,2017/1/9,IH1701    
426,IC1701    ,2017/1/10,IH1701    
427,IC1701    ,2017/1/11,IH1701    
428,IC1701    ,2017/1/12,IH1701    
429,IC1701    ,2017/1/13,IH1701    
430,IC1701    ,2017/1/16,IH1701    
431,IC1701    ,2017/1/17,IH1701    
432,IC1701    ,2017/1/18,IH1701    
433,IC1701    ,2017/1/19,IH1701    
434,IC1702    ,2017/1/20,IH1702    
435,IC1702    ,2017/1/23,IH1702    
436,IC1702    ,2017/1/24,IH1702    
437,IC1702    ,2017/1/25,IH1702    
438,IC1702    ,2017/1/26,IH1702    
439,IC1702    ,2017/2/3,IH1702    
440,IC1702    ,2017/2/6,IH1702    
441,IC1702    ,2017/2/7,IH1702    
442,IC1702    ,2017/2/8,IH1702    
443,IC1702    ,2017/2/9,IH1702    
444,IC1702    ,2017/2/10,IH1702    
445,IC1702    ,2017/2/13,IH1702    
446,IC1702    ,2017/2/14,IH1702    
447,IC1702    ,2017/2/15,IH1702    
448,IC1702    ,2017/2/16,IH1702    
449,IC1703    ,2017/2/17,IH1703    
450,IC1703    ,2017/2/20,IH1703    
451,IC1703    ,2017/2/21,IH1703    
452,IC1703    ,2017/2/22,IH1703    
453,IC1703    ,2017/2/23,IH1703    
454,IC1703    ,2017/2/24,IH1703    
455,IC1703    ,2017/2/27,IH1703    
456,IC1703    ,2017/2/28,IH1703    
457,IC1703    ,2017/3/1,IH1703    
458,IC1703    ,2017/3/2,IH1703    
459,IC1703    ,2017/3/3,IH1703    
460,IC1703    ,2017/3/6,IH1703    
461,IC1703    ,2017/3/7,IH1703    
462,IC1703    ,2017/3/8,IH1703    
463,IC1703    ,2017/3/9,IH1703    
464,IC1703    ,2017/3/10,IH1703    
465,IC1703    ,2017/3/13,IH1703    
466,IC1703    ,2017/3/14,IH1703    
467,IC1703    ,2017/3/15,IH1703    
468,IC1703    ,2017/3/16,IH1703    
469,IC1704    ,2017/3/17,IH1704    
470,IC1704    ,2017/3/20,IH1704    
471,IC1704    ,2017/3/21,IH1704    
472,IC1704    ,2017/3/22,IH1704    
473,IC1704    ,2017/3/23,IH1704    
474,IC1704    ,2017/3/24,IH1704    
475,IC1704    ,2017/3/27,IH1704    
476,IC1704    ,2017/3/28,IH1704    
477,IC1704    ,2017/3/29,IH1704    
478,IC1704    ,2017/3/30,IH1704    
479,IC1704    ,2017/3/31,IH1704    
480,IC1704    ,2017/4/5,IH1704    
481,IC1704    ,2017/4/6,IH1704    
482,IC1704    ,2017/4/7,IH1704    
483,IC1704    ,2017/4/10,IH1704    
484,IC1704    ,2017/4/11,IH1704    
485,IC1704    ,2017/4/12,IH1704    
486,IC1704    ,2017/4/13,IH1704    
487,IC1704    ,2017/4/14,IH1704    
488,IC1704    ,2017/4/17,IH1704    
489,IC1704    ,2017/4/18,IH1704    
490,IC1704    ,2017/4/19,IH1704    
491,IC1704    ,2017/4/20,IH1704    
492,IC1705    ,2017/4/21,IH1705    
493,IC1705    ,2017/4/24,IH1705    
494,IC1705    ,2017/4/25,IH1705    
495,IC1705    ,2017/4/26,IH1705    
496,IC1705    ,2017/4/27,IH1705    
497,IC1705    ,2017/4/28,IH1705    
498,IC1705    ,2017/5/2,IH1705    
499,IC1705    ,2017/5/3,IH1705    
500,IC1705    ,2017/5/4,IH1705    
501,IC1705    ,2017/5/5,IH1705    
502,IC1705    ,2017/5/8,IH1705    
503,IC1705    ,2017/5/9,IH1705    
504,IC1705    ,2017/5/10,IH1705    
505,IC1705    ,2017/5/11,IH1705    
506,IC1705    ,2017/5/12,IH1705    
507,IC1705    ,2017/5/15,IH1705    
508,IC1705    ,2017/5/16,IH1705    
509,IC1705    ,2017/5/17,IH1705    
510,IC1705    ,2017/5/18,IH1705    
511,IC1706    ,2017/5/19,IH1706    
512,IC1706    ,2017/5/22,IH1706    
513,IC1706    ,2017/5/23,IH1706    
514,IC1706    ,2017/5/24,IH1706    
515,IC1706    ,2017/5/25,IH1706    
516,IC1706    ,2017/5/26,IH1706    
517,IC1706    ,2017/5/31,IH1706    
518,IC1706    ,2017/6/1,IH1706    
519,IC1706    ,2017/6/2,IH1706    
520,IC1706    ,2017/6/5,IH1706    
521,IC1706    ,2017/6/6,IH1706    
522,IC1706    ,2017/6/7,IH1706    
523,IC1706    ,2017/6/8,IH1706    
524,IC1706    ,2017/6/9,IH1706    
525,IC1706    ,2017/6/12,IH1706    
526,IC1706    ,2017/6/13,IH1706    
527,IC1706    ,2017/6/14,IH1706    
528,IC1706    ,2017/6/15,IH1706    
529,IC1707                        ,2017/6/16,IH1707                        
530,IC1707                        ,2017/6/19,IH1707                        
531,IC1707                        ,2017/6/20,IH1707                        
532,IC1707                        ,2017/6/21,IH1707                        
533,IC1707                        ,2017/6/22,IH1707                        
534,IC1707                        ,2017/6/23,IH1707                        
535,IC1707                        ,2017/6/26,IH1707                        
536,IC1707                        ,2017/6/27,IH1707                        
537,IC1707                        ,2017/6/28,IH1707                        
538,IC1707                        ,2017/6/29,IH1707                        
539,IC1707                        ,2017/6/30,IH1707                        
540,IC1707                        ,2017/7/3,IH1707                        
541,IC1707                        ,2017/7/4,IH1707                        
542,IC1707                        ,2017/7/5,IH1707                        
543,IC1707                        ,2017/7/6,IH1707                        
544,IC1707                        ,2017/7/7,IH1707                        
