,instrumentID,tradedate
199,IC1602    ,2016-02-03
200,IC1602    ,2016-02-04
201,IC1602    ,2016-02-05
202,IC1602    ,2016-02-15
203,IC1602    ,2016-02-16
204,IC1602    ,2016-02-17
205,IC1602    ,2016-02-18
206,IC1603    ,2016-02-19
207,IC1603    ,2016-02-22
208,IC1603    ,2016-02-23
209,IC1603    ,2016-02-24
210,IC1603    ,2016-02-25
211,IC1603    ,2016-02-26
212,IC1603    ,2016-02-29
213,IC1603    ,2016-03-01
214,IC1603    ,2016-03-02
215,IC1603    ,2016-03-03
216,IC1603    ,2016-03-04
217,IC1603    ,2016-03-07
218,IC1603    ,2016-03-08
219,IC1603    ,2016-03-09
220,IC1603    ,2016-03-10
221,IC1603    ,2016-03-11
222,IC1603    ,2016-03-14
223,IC1603    ,2016-03-15
224,IC1603    ,2016-03-16
225,IC1603    ,2016-03-17
226,IC1604    ,2016-03-18
227,IC1604    ,2016-03-21
228,IC1604    ,2016-03-22
229,IC1604    ,2016-03-23
230,IC1604    ,2016-03-24
231,IC1604    ,2016-03-25
232,IC1604    ,2016-03-28
233,IC1604    ,2016-03-29
234,IC1604    ,2016-03-30
235,IC1604    ,2016-03-31
236,IC1604    ,2016-04-01
237,IC1604    ,2016-04-05
238,IC1604    ,2016-04-06
239,IC1604    ,2016-04-07
240,IC1604    ,2016-04-08
241,IC1604    ,2016-04-11
242,IC1604    ,2016-04-12
243,IC1604    ,2016-04-13
244,IC1604    ,2016-04-14
245,IC1605    ,2016-04-15
246,IC1605    ,2016-04-18
247,IC1605    ,2016-04-19
248,IC1605    ,2016-04-20
249,IC1605    ,2016-04-21
250,IC1605    ,2016-04-22
251,IC1605    ,2016-04-25
252,IC1605    ,2016-04-26
253,IC1605    ,2016-04-27
254,IC1605    ,2016-04-28
255,IC1605    ,2016-04-29
256,IC1605    ,2016-05-03
257,IC1605    ,2016-05-04
258,IC1605    ,2016-05-05
259,IC1605    ,2016-05-06
260,IC1605    ,2016-05-09
261,IC1605    ,2016-05-10
262,IC1605    ,2016-05-11
263,IC1605    ,2016-05-12
264,IC1605    ,2016-05-13
265,IC1605    ,2016-05-16
266,IC1605    ,2016-05-17
267,IC1605    ,2016-05-18
268,IC1605    ,2016-05-19
269,IC1606    ,2016-05-20
270,IC1606    ,2016-05-23
271,IC1606    ,2016-05-24
272,IC1606    ,2016-05-25
273,IC1606    ,2016-05-26
274,IC1606    ,2016-05-27
275,IC1606    ,2016-05-30
276,IC1606    ,2016-05-31
277,IC1606    ,2016-06-01
278,IC1606    ,2016-06-02
279,IC1606    ,2016-06-03
280,IC1606    ,2016-06-06
281,IC1606    ,2016-06-07
282,IC1606    ,2016-06-08
283,IC1606    ,2016-06-13
284,IC1606    ,2016-06-14
285,IC1606    ,2016-06-15
286,IC1606    ,2016-06-16
287,IC1607    ,2016-06-17
288,IC1607    ,2016-06-20
289,IC1607    ,2016-06-21
290,IC1607    ,2016-06-22
291,IC1607    ,2016-06-23
292,IC1607    ,2016-06-24
293,IC1607    ,2016-06-27
294,IC1607    ,2016-06-28
295,IC1607    ,2016-06-29
296,IC1607    ,2016-06-30
297,IC1607    ,2016-07-01
298,IC1607    ,2016-07-04
299,IC1607    ,2016-07-05
300,IC1607    ,2016-07-06
301,IC1607    ,2016-07-07
302,IC1607    ,2016-07-08
303,IC1607    ,2016-07-11
304,IC1607    ,2016-07-12
305,IC1607    ,2016-07-13
306,IC1607    ,2016-07-14
307,IC1608    ,2016-07-15
308,IC1608    ,2016-07-18
309,IC1608    ,2016-07-19
310,IC1608    ,2016-07-20
311,IC1608    ,2016-07-21
312,IC1608    ,2016-07-22
313,IC1608    ,2016-07-25
314,IC1608    ,2016-07-26
315,IC1608    ,2016-07-27
316,IC1608    ,2016-07-28
317,IC1608    ,2016-07-29
318,IC1608    ,2016-08-01
319,IC1608    ,2016-08-02
320,IC1608    ,2016-08-03
321,IC1608    ,2016-08-04
322,IC1608    ,2016-08-05
323,IC1608    ,2016-08-08
324,IC1608    ,2016-08-09
325,IC1608    ,2016-08-10
326,IC1608    ,2016-08-11
327,IC1608    ,2016-08-12
328,IC1608    ,2016-08-15
329,IC1608    ,2016-08-16
330,IC1608    ,2016-08-17
331,IC1608    ,2016-08-18
332,IC1609    ,2016-08-19
333,IC1609    ,2016-08-22
334,IC1609    ,2016-08-23
335,IC1609    ,2016-08-24
336,IC1609    ,2016-08-25
337,IC1609    ,2016-08-26
338,IC1609    ,2016-08-29
339,IC1609    ,2016-08-30
340,IC1609    ,2016-08-31
341,IC1609    ,2016-09-01
342,IC1609    ,2016-09-02
343,IC1609    ,2016-09-05
344,IC1609    ,2016-09-06
345,IC1609    ,2016-09-07
346,IC1609    ,2016-09-08
347,IC1609    ,2016-09-09
348,IC1609    ,2016-09-12
349,IC1609    ,2016-09-13
350,IC1609    ,2016-09-14
351,IC1610    ,2016-09-19
352,IC1610    ,2016-09-20
353,IC1610    ,2016-09-21
354,IC1610    ,2016-09-22
355,IC1610    ,2016-09-23
356,IC1610    ,2016-09-26
357,IC1610    ,2016-09-27
358,IC1610    ,2016-09-28
359,IC1610    ,2016-09-29
360,IC1610    ,2016-09-30
361,IC1610    ,2016-10-10
362,IC1610    ,2016-10-11
363,IC1610    ,2016-10-12
364,IC1610    ,2016-10-13
365,IC1610    ,2016-10-14
366,IC1610    ,2016-10-17
367,IC1610    ,2016-10-18
368,IC1610    ,2016-10-19
369,IC1610    ,2016-10-20
370,IC1611    ,2016-10-21
371,IC1611    ,2016-10-24
372,IC1611    ,2016-10-25
373,IC1611    ,2016-10-26
374,IC1611    ,2016-10-27
375,IC1611    ,2016-10-28
376,IC1611    ,2016-10-31
377,IC1611    ,2016-11-01
378,IC1611    ,2016-11-02
379,IC1611    ,2016-11-03
380,IC1611    ,2016-11-04
381,IC1611    ,2016-11-07
382,IC1611    ,2016-11-08
383,IC1611    ,2016-11-09
384,IC1611    ,2016-11-10
385,IC1611    ,2016-11-11
386,IC1611    ,2016-11-14
387,IC1611    ,2016-11-15
388,IC1611    ,2016-11-16
389,IC1611    ,2016-11-17
390,IC1612    ,2016-11-18
391,IC1612    ,2016-11-21
392,IC1612    ,2016-11-22
393,IC1612    ,2016-11-23
394,IC1612    ,2016-11-24
395,IC1612    ,2016-11-25
396,IC1612    ,2016-11-28
397,IC1612    ,2016-11-29
398,IC1612    ,2016-11-30
399,IC1612    ,2016-12-01
400,IC1612    ,2016-12-02
401,IC1612    ,2016-12-05
402,IC1612    ,2016-12-06
403,IC1612    ,2016-12-07
404,IC1612    ,2016-12-08
405,IC1612    ,2016-12-09
406,IC1612    ,2016-12-12
407,IC1612    ,2016-12-13
408,IC1612    ,2016-12-14
409,IC1612    ,2016-12-15
410,IC1701    ,2016-12-16
411,IC1701    ,2016-12-19
412,IC1701    ,2016-12-20
413,IC1701    ,2016-12-21
414,IC1701    ,2016-12-22
415,IC1701    ,2016-12-23
416,IC1701    ,2016-12-26
417,IC1701    ,2016-12-27
418,IC1701    ,2016-12-28
419,IC1701    ,2016-12-29
420,IC1701    ,2016-12-30
421,IC1701    ,2017-01-03
422,IC1701    ,2017-01-04
423,IC1701    ,2017-01-05
424,IC1701    ,2017-01-06
425,IC1701    ,2017-01-09
426,IC1701    ,2017-01-10
427,IC1701    ,2017-01-11
428,IC1701    ,2017-01-12
429,IC1701    ,2017-01-13
430,IC1701    ,2017-01-16
431,IC1701    ,2017-01-17
432,IC1701    ,2017-01-18
433,IC1701    ,2017-01-19
434,IC1702    ,2017-01-20
435,IC1702    ,2017-01-23
436,IC1702    ,2017-01-24
437,IC1702    ,2017-01-25
438,IC1702    ,2017-01-26
439,IC1702    ,2017-02-03
440,IC1702    ,2017-02-06
441,IC1702    ,2017-02-07
442,IC1702    ,2017-02-08
443,IC1702    ,2017-02-09
444,IC1702    ,2017-02-10
445,IC1702    ,2017-02-13
446,IC1702    ,2017-02-14
447,IC1702    ,2017-02-15
448,IC1702    ,2017-02-16
449,IC1703    ,2017-02-17
450,IC1703    ,2017-02-20
451,IC1703    ,2017-02-21
452,IC1703    ,2017-02-22
453,IC1703    ,2017-02-23
454,IC1703    ,2017-02-24
455,IC1703    ,2017-02-27
456,IC1703    ,2017-02-28
457,IC1703    ,2017-03-01
458,IC1703    ,2017-03-02
459,IC1703    ,2017-03-03
460,IC1703    ,2017-03-06
461,IC1703    ,2017-03-07
462,IC1703    ,2017-03-08
463,IC1703    ,2017-03-09
464,IC1703    ,2017-03-10
465,IC1703    ,2017-03-13
466,IC1703    ,2017-03-14
467,IC1703    ,2017-03-15
468,IC1703    ,2017-03-16
469,IC1704    ,2017-03-17
470,IC1704    ,2017-03-20
471,IC1704    ,2017-03-21
472,IC1704    ,2017-03-22
473,IC1704    ,2017-03-23
474,IC1704    ,2017-03-24
475,IC1704    ,2017-03-27
476,IC1704    ,2017-03-28
477,IC1704    ,2017-03-29
478,IC1704    ,2017-03-30
479,IC1704    ,2017-03-31
480,IC1704    ,2017-04-05
481,IC1704    ,2017-04-06
482,IC1704    ,2017-04-07
483,IC1704    ,2017-04-10
484,IC1704    ,2017-04-11
485,IC1704    ,2017-04-12
486,IC1704    ,2017-04-13
487,IC1704    ,2017-04-14
488,IC1704    ,2017-04-17
489,IC1704    ,2017-04-18
490,IC1704    ,2017-04-19
491,IC1704    ,2017-04-20
492,IC1705    ,2017-04-21
493,IC1705    ,2017-04-24
494,IC1705    ,2017-04-25
495,IC1705    ,2017-04-26
496,IC1705    ,2017-04-27
497,IC1705    ,2017-04-28
498,IC1705    ,2017-05-02
499,IC1705    ,2017-05-03
500,IC1705    ,2017-05-04
501,IC1705    ,2017-05-05
502,IC1705    ,2017-05-08
503,IC1705    ,2017-05-09
504,IC1705    ,2017-05-10
505,IC1705    ,2017-05-11
506,IC1705    ,2017-05-12
507,IC1705    ,2017-05-15
508,IC1705    ,2017-05-16
509,IC1705    ,2017-05-17
510,IC1705    ,2017-05-18
511,IC1706    ,2017-05-19
512,IC1706    ,2017-05-22
513,IC1706    ,2017-05-23
514,IC1706    ,2017-05-24
515,IC1706    ,2017-05-25
516,IC1706    ,2017-05-26
517,IC1706    ,2017-05-31
518,IC1706    ,2017-06-01
519,IC1706    ,2017-06-02
520,IC1706    ,2017-06-05
521,IC1706    ,2017-06-06
522,IC1706    ,2017-06-07
523,IC1706    ,2017-06-08
524,IC1706    ,2017-06-09
525,IC1706    ,2017-06-12
526,IC1706    ,2017-06-13
527,IC1706    ,2017-06-14
528,IC1706    ,2017-06-15
529,IC1707                        ,2017-06-16
530,IC1707                        ,2017-06-19
531,IC1707                        ,2017-06-20
532,IC1707                        ,2017-06-21
533,IC1707                        ,2017-06-22
534,IC1707                        ,2017-06-23
535,IC1707                        ,2017-06-26
536,IC1707                        ,2017-06-27
537,IC1707                        ,2017-06-28
538,IC1707                        ,2017-06-29
539,IC1707                        ,2017-06-30
540,IC1707                        ,2017-07-03
541,IC1707                        ,2017-07-04
542,IC1707                        ,2017-07-05
543,IC1707                        ,2017-07-06
544,IC1707                        ,2017-07-07
545,IC1707                        ,2017-07-10
546,IC1707                        ,2017-07-11
547,IC1707                        ,2017-07-12
548,IC1707                        ,2017-07-13
549,IC1707                        ,2017-07-14
550,IC1707                        ,2017-07-17
551,IC1707                        ,2017-07-18
552,IC1707                        ,2017-07-19
553,IC1707                        ,2017-07-20
554,IC1708                        ,2017-07-21
555,IC1708                        ,2017-07-24
556,IC1708                        ,2017-07-25
557,IC1708                        ,2017-07-26
558,IC1708                        ,2017-07-27
559,IC1708                        ,2017-07-28
560,IC1708                        ,2017-07-31
561,IC1708                        ,2017-08-01
562,IC1708                        ,2017-08-02
563,IC1708                        ,2017-08-03
564,IC1708                        ,2017-08-04
565,IC1708                        ,2017-08-07
566,IC1708                        ,2017-08-08
567,IC1708                        ,2017-08-09
568,IC1708                        ,2017-08-10
569,IC1708                        ,2017-08-11
570,IC1708                        ,2017-08-14
571,IC1708                        ,2017-08-15
572,IC1708                        ,2017-08-16
573,IC1708                        ,2017-08-17
574,IC1709    ,2017-08-18
575,IC1709    ,2017-08-21
576,IC1709    ,2017-08-22
577,IC1709    ,2017-08-23
578,IC1709    ,2017-08-24
579,IC1709    ,2017-08-25
580,IC1709    ,2017-08-28
581,IC1709    ,2017-08-29
582,IC1709    ,2017-08-30
583,IC1709    ,2017-08-31
584,IC1709    ,2017-09-01
585,IC1709    ,2017-09-04
586,IC1709    ,2017-09-05
587,IC1709    ,2017-09-06
588,IC1709    ,2017-09-07
589,IC1709    ,2017-09-08
590,IC1709    ,2017-09-11
591,IC1709    ,2017-09-12
592,IC1709    ,2017-09-13
