,instrumentID,tradedate
199,IH1602    ,2016-02-03
200,IH1602    ,2016-02-04
201,IH1602    ,2016-02-05
202,IH1602    ,2016-02-15
203,IH1602    ,2016-02-16
204,IH1602    ,2016-02-17
205,IH1602    ,2016-02-18
206,IH1603    ,2016-02-19
207,IH1603    ,2016-02-22
208,IH1603    ,2016-02-23
209,IH1603    ,2016-02-24
210,IH1603    ,2016-02-25
211,IH1603    ,2016-02-26
212,IH1603    ,2016-02-29
213,IH1603    ,2016-03-01
214,IH1603    ,2016-03-02
215,IH1603    ,2016-03-03
216,IH1603    ,2016-03-04
217,IH1603    ,2016-03-07
218,IH1603    ,2016-03-08
219,IH1603    ,2016-03-09
220,IH1603    ,2016-03-10
221,IH1603    ,2016-03-11
222,IH1603    ,2016-03-14
223,IH1603    ,2016-03-15
224,IH1603    ,2016-03-16
225,IH1603    ,2016-03-17
226,IH1604    ,2016-03-18
227,IH1604    ,2016-03-21
228,IH1604    ,2016-03-22
229,IH1604    ,2016-03-23
230,IH1604    ,2016-03-24
231,IH1604    ,2016-03-25
232,IH1604    ,2016-03-28
233,IH1604    ,2016-03-29
234,IH1604    ,2016-03-30
235,IH1604    ,2016-03-31
236,IH1604    ,2016-04-01
237,IH1604    ,2016-04-05
238,IH1604    ,2016-04-06
239,IH1604    ,2016-04-07
240,IH1604    ,2016-04-08
241,IH1604    ,2016-04-11
242,IH1604    ,2016-04-12
243,IH1604    ,2016-04-13
244,IH1604    ,2016-04-14
245,IH1605    ,2016-04-15
246,IH1605    ,2016-04-18
247,IH1605    ,2016-04-19
248,IH1605    ,2016-04-20
249,IH1605    ,2016-04-21
250,IH1605    ,2016-04-22
251,IH1605    ,2016-04-25
252,IH1605    ,2016-04-26
253,IH1605    ,2016-04-27
254,IH1605    ,2016-04-28
255,IH1605    ,2016-04-29
256,IH1605    ,2016-05-03
257,IH1605    ,2016-05-04
258,IH1605    ,2016-05-05
259,IH1605    ,2016-05-06
260,IH1605    ,2016-05-09
261,IH1605    ,2016-05-10
262,IH1605    ,2016-05-11
263,IH1605    ,2016-05-12
264,IH1605    ,2016-05-13
265,IH1605    ,2016-05-16
266,IH1605    ,2016-05-17
267,IH1605    ,2016-05-18
268,IH1605    ,2016-05-19
269,IH1606    ,2016-05-20
270,IH1606    ,2016-05-23
271,IH1606    ,2016-05-24
272,IH1606    ,2016-05-25
273,IH1606    ,2016-05-26
274,IH1606    ,2016-05-27
275,IH1606    ,2016-05-30
276,IH1606    ,2016-05-31
277,IH1606    ,2016-06-01
278,IH1606    ,2016-06-02
279,IH1606    ,2016-06-03
280,IH1606    ,2016-06-06
281,IH1606    ,2016-06-07
282,IH1606    ,2016-06-08
283,IH1606    ,2016-06-13
284,IH1606    ,2016-06-14
285,IH1606    ,2016-06-15
286,IH1606    ,2016-06-16
287,IH1607    ,2016-06-17
288,IH1607    ,2016-06-20
289,IH1607    ,2016-06-21
290,IH1607    ,2016-06-22
291,IH1607    ,2016-06-23
292,IH1607    ,2016-06-24
293,IH1607    ,2016-06-27
294,IH1607    ,2016-06-28
295,IH1607    ,2016-06-29
296,IH1607    ,2016-06-30
297,IH1607    ,2016-07-01
298,IH1607    ,2016-07-04
299,IH1607    ,2016-07-05
300,IH1607    ,2016-07-06
301,IH1607    ,2016-07-07
302,IH1607    ,2016-07-08
303,IH1607    ,2016-07-11
304,IH1607    ,2016-07-12
305,IH1607    ,2016-07-13
306,IH1607    ,2016-07-14
307,IH1608    ,2016-07-15
308,IH1608    ,2016-07-18
309,IH1608    ,2016-07-19
310,IH1608    ,2016-07-20
311,IH1608    ,2016-07-21
312,IH1608    ,2016-07-22
313,IH1608    ,2016-07-25
314,IH1608    ,2016-07-26
315,IH1608    ,2016-07-27
316,IH1608    ,2016-07-28
317,IH1608    ,2016-07-29
318,IH1608    ,2016-08-01
319,IH1608    ,2016-08-02
320,IH1608    ,2016-08-03
321,IH1608    ,2016-08-04
322,IH1608    ,2016-08-05
323,IH1608    ,2016-08-08
324,IH1608    ,2016-08-09
