,tradedate,ICmIH_f,dbasis,signal,ret,cum
448,2017-02-20,8.953535441809726e-05,86.64999999999964,1.0,8.953535441809726e-05,1.9876960354318929
449,2017-02-21,0.006230136694130192,70.34000000000015,1.0,0.006230136694130192,2.0000796534390144
450,2017-02-22,0.006408440245071921,85.1599999999994,1.0,0.006408440245071921,2.0128970443834624
451,2017-02-23,0.0057678395561537475,78.03999999999905,1.0,0.0057678395561537475,2.0245071115785223
452,2017-02-24,0.0014439740045016488,69.76999999999953,1.0,0.0014439740045016488,2.02743044721957
453,2017-02-27,-0.00288068359189474,57.88999999999942,1.0,-0.00288068359189474,2.021590061596557
454,2017-02-28,0.005995534031506021,71.49000000000024,1.0,0.005995534031506021,2.0337105736086136
455,2017-03-01,0.0025941237135688037,66.0600000000004,1.0,0.0025941237135688037,2.038986270434147
456,2017-03-02,0.0058874299106255286,61.91000000000031,1.0,0.0058874299106255286,2.050990659190056
457,2017-03-03,0.004559463568075191,36.92000000000007,1.0,0.004559463568075191,2.060342076379096
458,2017-03-06,0.008652213515564005,50.289999999999964,1.0,0.008652213515564005,2.078168595939028
459,2017-03-07,-0.0015009405176941266,49.429999999999836,1.0,-0.0015009405176941266,2.075049388490784
460,2017-03-08,-0.003830591231245072,49.099999999999454,1.0,-0.003830591231245072,2.0671007224988305
461,2017-03-09,-0.00273549545547012,40.01999999999953,1.0,-0.00273549545547012,2.061446177866436
462,2017-03-10,0.005207686681229163,37.629999999999654,1.0,0.005207686681229163,2.0721815436709816
463,2017-03-13,0.0017920517213279204,28.890000000000327,1.0,0.0017920517213279204,2.075895000173221
464,2017-03-14,-0.0003818531411344057,21.80999999999949,1.0,-0.0003818531411344057,2.07510231314674
465,2017-03-15,-0.0010672702194744993,17.579999999999472,1.0,-0.0010672702194744993,2.072887618245556
466,2017-03-16,0.0033130471037980673,12.550000000000637,1.0,0.0033130471037980673,2.079755192565683
467,2017-03-17,0.0033224701611868283,3.950000000000273,1.0,0.0033224701611868283,2.086665117135556
468,2017-03-20,0.00042512508424326616,61.289999999999964,1.0,0.00042512508424326616,2.0875522108192657
469,2017-03-21,0.00023680161179405766,61.4699999999998,1.0,0.00023680161179405766,2.0880465465474916
470,2017-03-22,0.003624007584173832,60.00999999999976,1.0,0.003624007584173832,2.0956136430682877
471,2017-03-23,0.0002956875276255901,64.23999999999978,1.0,0.0002956875276255901,2.096233289885265
472,2017-03-24,0.0009452035038759778,53.559999999999945,1.0,0.0009452035038759778,2.0982146569358058
473,2017-03-27,-0.0037630896830172524,18.009999999999764,1.0,-0.0037630896830172524,2.090318887007535
474,2017-03-28,-0.00037034877995873686,27.599999999999454,1.0,-0.00037034877995873686,2.089544739958007
475,2017-03-29,-0.005264417572488779,27.779999999999745,1.0,-0.005264417572488779,2.0785445039104706
476,2017-03-30,-0.0070581162532747065,40.649999999999636,1.0,-0.0070581162532747065,2.0638738951642654
477,2017-03-31,-0.003291257942196484,7.470000000000255,1.0,-0.003291257942196484,2.057081153815114
478,2017-04-05,0.013544147937055277,19.299999999999727,1.0,0.013544147937055277,2.0849425652809144
479,2017-04-06,-0.00031375303824060497,1.3099999999994907,1.0,-0.00031375303824060497,2.0842884082165005
480,2017-04-07,0.003731116520195879,17.259999999999764,1.0,0.003731116520195879,2.09206513112925
481,2017-04-10,0.0005734036827334014,16.859999999999673,1.0,0.0005734036827334014,2.0932647289799577
482,2017-04-11,0.01001552966147254,18.7800000000002,1.0,0.01001552966147254,2.1142298839623708
483,2017-04-12,-0.005174548376844057,18.860000000000127,1.0,-0.005174548376844057,2.103289699148038
484,2017-04-13,0.009195915330943485,11.419999999999163,1.0,0.009195915330943485,2.1226313731378488
485,2017-04-14,-0.006362960853252605,4.989999999999782,1.0,-0.006362960853252605,2.109125152804687
486,2017-04-17,-0.01287393048340189,3.6399999999998727,1.0,-0.01287393048340189,2.0819724222066847
487,2017-04-18,0.003031126937919057,8.680000000000746,1.0,0.003031126937919057,2.08828314489964
488,2017-04-19,-0.004842668029989665,-3.3399999999996908,-1.0,0.004842668029989665,2.0983960069230116
489,2017-04-20,-0.004462485383638445,0.8099999999994907,1.0,-0.004462485383638445,2.089031945413032
490,2017-04-21,-0.008222321543716042,-3.0799999999999272,-1.0,0.008222321543716042,2.106208637783313
491,2017-04-24,-0.021932221567841317,24.240000000000236,1.0,-0.021932221567841317,2.060014803271348
492,2017-04-25,-0.0005746227784035256,14.170000000000528,1.0,-0.0005746227784035256,2.05883107184154
493,2017-04-26,0.0022845953002610386,22.520000000000437,1.0,0.0022845953002610386,2.0635346676323003
494,2017-04-27,0.000446488484858443,24.699999999999818,1.0,0.000446488484858443,2.0644560120995044
495,2017-04-28,0.0052769963116881535,21.26000000000022,1.0,0.0052769963116881535,2.075350138860996
496,2017-05-02,0.0024558799694519074,20.420000000000073,1.0,0.0024558799694519074,2.080446949696624
497,2017-05-03,-0.0010587455492227873,31.919999999999618,1.0,-0.0010587455492227873,2.078244285748238
498,2017-05-04,-0.0021107614810109755,35.10999999999967,1.0,-0.0021107614810109755,2.0738576077617497
499,2017-05-05,-0.007809470214449049,43.48000000000002,1.0,-0.007809470214449049,2.0576618785449257
500,2017-05-08,-0.019242596479282986,20.68000000000029,1.0,-0.019242596479282986,2.0180671213252825
501,2017-05-09,0.005842672493749138,11.440000000000055,1.0,0.005842672493749138,2.0298580265855892
502,2017-05-10,-0.02721132376081517,22.309999999999945,1.0,-0.02721132376081517,1.9746229026356794
503,2017-05-11,-0.008341894932011928,39.320000000000164,1.0,-0.008341894932011928,1.958150805851548
504,2017-05-12,-0.013624679,40.150000000000546,1.0,-0.013624679,1.9314716296882293
505,2017-05-15,0.005552976699615709,26.93000000000029,1.0,0.005552976699615709,1.9421970466438567
506,2017-05-16,0.019681263007623226,7.760000000000218,1.0,0.019681263007623226,1.9804219375314838
507,2017-05-17,0.008840684861159999,3.4099999999993997,1.0,0.008840684861159999,1.9979302237733274
508,2017-05-18,-0.006039869817275758,6.889999999999873,1.0,-0.006039869817275758,1.9858629853177359
509,2017-05-19,-0.002081676502097301,14.950000000000273,1.0,-0.002081676502097301,1.981729061004815
510,2017-05-22,-0.0217829471861472,48.119999999999436,1.0,-0.0217829471861472,1.9385611615316942
511,2017-05-23,-0.03140746675229045,44.460000000000036,1.0,-0.03140746675229045,1.877675866303606
512,2017-05-24,0.00877566617704682,31.480000000000018,1.0,0.00877566617704682,1.8941537228949836
513,2017-05-25,-0.02323882313040458,24.079999999999927,1.0,-0.02323882313040458,1.8501358195468296
514,2017-05-26,0.0023088800674285143,35.09999999999991,1.0,0.0023088800674285143,1.8544075612626167
515,2017-05-31,-0.01071288978051797,15.519999999999982,1.0,-0.01071288978051797,1.834541497450651
516,2017-06-01,-0.02605716670304546,45.42000000000007,1.0,-0.02605716670304546,1.7867385438279249
517,2017-06-02,0.024279162948826483,38.75,1.0,0.024279162948826483,1.8301190600804718
518,2017-06-05,0.01569395757811308,13.460000000000491,1.0,0.01569395757811308,1.8588408709722708
519,2017-06-06,-0.001554805424242433,30.65000000000009,1.0,-0.001554805424242433,1.8559507351032796
520,2017-06-07,0.0166337829895302,25.91000000000031,1.0,0.0166337829895302,1.8868222168702466
521,2017-06-08,-0.011862780032258118,-3.0099999999997635,-1.0,0.011862780032258118,1.9092051737889562
522,2017-06-09,-0.0007675758922560508,14.349999999999454,1.0,-0.0007675758922560508,1.9077397139241852
523,2017-06-12,-0.01147524184628793,0.2000000000007276,1.0,-0.01147524184628793,1.885847939327137
524,2017-06-13,0.013161797552412315,8.289999999999964,1.0,0.013161797552412315,1.9106690881191948
