,tradedate,ICmIH,signal_x,signal_y,signal,ret,cum,fee_cum,fee,fee_ret
666,2018-01-05,-0.005579410963476303,1.0,1.0,1.0,-0.005579410963476303,1.6921809046780614,1.5826224410220457,0.0,-0.005579410963476303
667,2018-01-08,0.002516009172353422,1.0,-1.0,0.0,0.0,1.6921809046780614,1.5823059165338413,0.0002,-0.0002
668,2018-01-09,-0.009722321062334938,1.0,-1.0,0.0,-0.0,1.6921809046780614,1.5823059165338413,0.0,-0.0
669,2018-01-10,-0.011326580413364372,1.0,-1.0,0.0,-0.0,1.6921809046780614,1.5823059165338413,0.0,-0.0
670,2018-01-11,0.0030576819508631075,1.0,-1.0,0.0,0.0,1.6921809046780614,1.5823059165338413,0.0,0.0
671,2018-01-12,-0.01262815207024533,1.0,1.0,1.0,-0.01262815207024533,1.6708117868834214,1.5620078556148962,0.0002,-0.012828152070245331
672,2018-01-15,-0.02749461984471656,1.0,-1.0,0.0,-0.0,1.6708117868834214,1.5616954540437733,0.0002,-0.0002
673,2018-01-16,-0.006059081678622721,-1.0,-1.0,-1.0,0.006059081678622721,1.6809353719697537,1.5708455552661498,0.0002,0.005859081678622722
674,2018-01-17,-0.007355456340715289,1.0,1.0,1.0,-0.007355456340715289,1.6685713252296661,1.5586629311442766,0.0004,-0.007755456340715289
675,2018-01-18,-0.005866195999999855,1.0,-1.0,0.0,-0.0,1.6685713252296661,1.5583511985580478,0.0002,-0.0002
676,2018-01-19,-0.0036214484878452796,1.0,-1.0,0.0,-0.0,1.6685713252296661,1.5583511985580478,0.0,-0.0
677,2018-01-22,0.014944487467265738,1.0,-1.0,0.0,0.0,1.6685713252296661,1.5583511985580478,0.0,0.0
678,2018-01-23,-0.016145518119522452,1.0,1.0,1.0,-0.016145518119522452,1.641631376664455,1.5328791408054376,0.0002,-0.01634551811952245
679,2018-01-24,0.012244816914084843,1.0,-1.0,0.0,0.0,1.641631376664455,1.5325725649772766,0.0002,-0.0002
680,2018-01-25,0.003751328941587592,-1.0,1.0,0.0,0.0,1.641631376664455,1.5325725649772766,0.0,0.0
681,2018-01-26,-0.006080932711914765,1.0,1.0,1.0,-0.006080932711914765,1.6316487267251905,1.5229465798205277,0.0002,-0.0062809327119147645
682,2018-01-29,0.006185617149757662,1.0,-1.0,0.0,0.0,1.6316487267251905,1.5226419905045636,0.0002,-0.0002
683,2018-01-30,0.011238674316213077,1.0,1.0,1.0,0.011238674316213077,1.6499862953633189,1.5394499395379337,0.0002,0.011038674316213077
684,2018-01-31,-0.030680355555308726,1.0,1.0,1.0,-0.030680355555308726,1.5993641291601857,1.4922190680333114,0.0,-0.030680355555308726
685,2018-02-01,-0.040003153137426084,1.0,-1.0,0.0,-0.0,1.5993641291601857,1.4919206242197047,0.0002,-0.0002
686,2018-02-02,-0.0028267751608041488,1.0,-1.0,0.0,-0.0,1.5993641291601857,1.4919206242197047,0.0,-0.0
687,2018-02-05,-0.01221542065567463,1.0,1.0,1.0,-0.01221542065567463,1.5798272235408972,1.4733978020851406,0.0002,-0.01241542065567463
688,2018-02-06,-0.02294292625733304,1.0,-1.0,0.0,-0.0,1.5798272235408972,1.4731031225247235,0.0002,-0.0002
689,2018-02-07,0.025268245522402723,1.0,-1.0,0.0,0.0,1.5798272235408972,1.4731031225247235,0.0,0.0
690,2018-02-08,0.04213235831767605,1.0,1.0,1.0,0.04213235831767605,1.6463890702031416,1.5348738104973176,0.0002,0.04193235831767605
691,2018-02-09,0.013030420775535059,1.0,1.0,1.0,0.013030420775535059,1.6678422125481303,1.5548738620854463,0.0,0.013030420775535059
692,2018-02-12,0.02181862330232553,1.0,1.0,1.0,0.02181862330232553,1.7042322335114348,1.5887990691649205,0.0,0.02181862330232553
693,2018-02-13,-0.009224705967143686,1.0,1.0,1.0,-0.009224705967143686,1.6885111922575633,1.5741428649110025,0.0,-0.009224705967143686
694,2018-02-14,-0.0058145480045154,1.0,-1.0,0.0,-0.0,1.6885111922575633,1.5738280363380204,0.0002,-0.0002
695,2018-02-22,0.002958044493891882,1.0,-1.0,0.0,0.0,1.6885111922575633,1.5738280363380204,0.0,0.0
696,2018-02-23,-0.011520902914163085,1.0,1.0,1.0,-0.011520902914163085,1.6690580187420863,1.5553813507205145,0.0002,-0.011720902914163086
697,2018-02-26,0.023186681020159788,1.0,-1.0,0.0,0.0,1.6690580187420863,1.5550702744503704,0.0002,-0.0002
698,2018-02-27,0.014140697330579868,1.0,1.0,1.0,0.014140697330579868,1.6926596630122952,1.5767490384742646,0.0002,0.013940697330579867
699,2018-02-28,0.017361570012977355,1.0,1.0,1.0,0.017361570012977355,1.722046892259826,1.6041238772986304,0.0,0.017361570012977355
700,2018-03-01,0.006369147845104805,1.0,1.0,1.0,0.006369147845104805,1.7330148635128322,1.6143407794350082,0.0,0.006369147845104805
701,2018-03-02,0.004931180673247609,1.0,1.0,1.0,0.004931180673247609,1.7415606729142377,1.6223013854865937,0.0,0.004931180673247609
702,2018-03-05,-0.0009035944676564519,1.0,1.0,1.0,-0.0009035944676564519,1.7399870083251043,1.6208354829297966,0.0,-0.0009035944676564519
703,2018-03-06,0.001519529199893668,1.0,1.0,1.0,0.001519529199893668,1.7426309693916902,1.6232983897743323,0.0,0.001519529199893668
704,2018-03-07,-0.00534685589031058,1.0,1.0,1.0,-0.00534685589031058,1.7333133727283605,1.6146188472172356,0.0,-0.00534685589031058
705,2018-03-08,0.0013499348254020144,1.0,-1.0,0.0,0.0,1.7333133727283605,1.6142959234477923,0.0002,-0.0002
706,2018-03-09,0.013997889904058815,1.0,1.0,1.0,0.013997889904058815,1.757576102489045,1.6365698008720957,0.0002,0.013797889904058815
707,2018-03-12,0.011807099431696342,1.0,1.0,1.0,0.011807099431696342,1.7783279782899064,1.655892943237904,0.0,0.011807099431696342
708,2018-03-13,0.006614497719348642,1.0,1.0,1.0,0.006614497719348642,1.7900907246465592,1.6668458433344366,0.0,0.006614497719348642
709,2018-03-14,-0.007958954864284617,1.0,1.0,1.0,-0.007958954864284617,1.7758434733661226,1.6535794925016174,0.0,-0.007958954864284617
