,instrumentID_IC,tradedate,instrumentID_IH,dbasis_premins,ICmIH,cum,ret,signal
765,IC1806.CCFX,2018-06-05,IH1806.CCFX,-7.230000000000018,0.014054795544826916,1.9895153232984368,-0.014054795544826916,-1.0
766,IC1806.CCFX,2018-06-06,IH1806.CCFX,-1.2999999999997272,0.0021073958147560523,1.9853226270327247,-0.0021073958147560523,-1.0
767,IC1806.CCFX,2018-06-07,IH1806.CCFX,-2.019999999999527,-0.00859133650271715,2.0023792017880213,0.00859133650271715,-1.0
768,IC1806.CCFX,2018-06-08,IH1806.CCFX,-16.08999999999878,0.0052207672045337895,1.9919252461202859,-0.0052207672045337895,-1.0
769,IC1806.CCFX,2018-06-11,IH1806.CCFX,-17.46000000000049,-0.010027818182936077,2.0118999103223802,0.010027818182936077,-1.0
770,IC1806.CCFX,2018-06-12,IH1806.CCFX,-24.25,-0.0006020404268836098,2.0131111554032377,0.0006020404268836098,-1.0
771,IC1806.CCFX,2018-06-13,IH1806.CCFX,2.5799999999999272,-0.007865080476974765,1.9972778741568955,-0.007865080476974765,1.0
772,IC1806.CCFX,2018-06-14,IH1806.CCFX,-3.4501000000000204,-0.0032606664666541274,2.003790331145749,0.0032606664666541274,-1.0
773,IC1807.CCFX,2018-06-15,IH1807.CCFX,-3.2900000000004184,-0.01707865945770426,2.0380123838360276,0.01707865945770426,-1.0
774,IC1807.CCFX,2018-06-19,IH1807.CCFX,-11.22000000000071,-0.04005468825770131,2.119644334535914,0.04005468825770131,-1.0
775,IC1807.CCFX,2018-06-20,IH1807.CCFX,22.909999999999854,0.012315171167327943,2.145748117329581,0.012315171167327943,1.0
776,IC1807.CCFX,2018-06-21,IH1807.CCFX,7.2400000000002365,-0.017935812979825383,2.107262380395345,-0.017935812979825383,1.0
777,IC1807.CCFX,2018-06-22,IH1807.CCFX,-4.8400000000001455,0.01776958421582231,2.0698172040620757,-0.01776958421582231,-1.0
778,IC1807.CCFX,2018-06-25,IH1807.CCFX,-14.830099999999675,0.005604626792666045,2.058216651104268,-0.005604626792666045,-1.0
779,IC1807.CCFX,2018-06-26,IH1807.CCFX,13.6599999999994,0.022111290508451287,2.103726477406166,0.022111290508451287,1.0
780,IC1807.CCFX,2018-06-27,IH1807.CCFX,6.379999999999654,0.00823117814562158,2.1210426248113574,0.00823117814562158,1.0
781,IC1807.CCFX,2018-06-28,IH1807.CCFX,33.7199999999998,0.005132091594103661,2.1319280098368876,0.005132091594103661,1.0
782,IC1807.CCFX,2018-06-29,IH1807.CCFX,-2.8299999999999272,0.014138802080441604,2.1017851016560543,-0.014138802080441604,-1.0
783,IC1807.CCFX,2018-07-02,IH1807.CCFX,-3.619999999999436,0.029436591465207818,2.0399157122709446,-0.029436591465207818,-1.0
784,IC1807.CCFX,2018-07-03,IH1807.CCFX,-29.470100000000002,0.0008642706357411267,2.038152673021442,-0.0008642706357411267,-1.0
785,IC1807.CCFX,2018-07-04,IH1807.CCFX,22.45989999999938,-0.0043657552852849335,2.029254597216981,-0.0043657552852849335,1.0
786,IC1807.CCFX,2018-07-05,IH1807.CCFX,-16.33989999999949,-0.033167165512115286,2.0965592203090977,0.033167165512115286,-1.0
787,IC1807.CCFX,2018-07-06,IH1807.CCFX,22.300000000000182,-0.009003086084718115,2.0776837171669453,-0.009003086084718115,1.0
788,IC1807.CCFX,2018-07-09,IH1807.CCFX,10.569999999999709,-0.0021003660572049897,2.0733198208098003,-0.0021003660572049897,1.0
789,IC1807.CCFX,2018-07-10,IH1807.CCFX,-6.0300000000002,0.007506734151681459,2.0577559601035693,-0.007506734151681459,-1.0
790,IC1807.CCFX,2018-07-11,IH1807.CCFX,-18.75000000000091,-0.005164259994803185,2.0683827468874,0.005164259994803185,-1.0
791,IC1807.CCFX,2018-07-12,IH1807.CCFX,-24.690000000000964,0.011627122128667232,2.044333408080512,-0.011627122128667232,-1.0
792,IC1807.CCFX,2018-07-13,IH1807.CCFX,-10.230000000000018,0.0021085613688593967,2.040022805631165,-0.0021085613688593967,-1.0
793,IC1807.CCFX,2018-07-16,IH1807.CCFX,-0.8400000000006003,0.009854847752727049,2.0199186914695786,-0.009854847752727049,-1.0
794,IC1807.CCFX,2018-07-17,IH1807.CCFX,-11.059999999999945,0.0035342982690048648,2.0127796963347873,-0.0035342982690048648,-1.0
795,IC1807.CCFX,2018-07-18,IH1807.CCFX,6.710099999999329,-3.1697773532615367e-06,2.012773316271289,-3.1697773532615367e-06,1.0
796,IC1807.CCFX,2018-07-19,IH1807.CCFX,-12.789999999999509,-0.012843852273118572,2.0386250794047522,0.012843852273118572,-1.0
797,IC1808.CCFX,2018-07-20,IH1808.CCFX,7.150000000000091,-0.012403126409940905,2.0133397548424194,-0.012403126409940905,1.0
798,IC1808.CCFX,2018-07-23,IH1808.CCFX,6.629999999999654,-0.0003814701229933864,2.0125717258785123,-0.0003814701229933864,1.0
799,IC1808.CCFX,2018-07-24,IH1808.CCFX,-1.7599999999997635,0.006295249352929354,1.9999020850234517,-0.006295249352929354,-1.0
800,IC1808.CCFX,2018-07-25,IH1808.CCFX,-0.36999999999898137,0.0011803417088361856,1.9975415171789102,-0.0011803417088361856,-1.0
801,IC1808.CCFX,2018-07-26,IH1808.CCFX,-8.610000000000127,0.005063351271908822,1.9874272627972116,-0.005063351271908822,-1.0
802,IC1808.CCFX,2018-07-27,IH1808.CCFX,-7.070100000000821,-0.0078275598884201,2.0029839687206357,0.0078275598884201,-1.0
803,IC1808.CCFX,2018-07-30,IH1808.CCFX,13.859999999999673,-0.022112955834279642,1.9586920726835462,-0.022112955834279642,1.0
804,IC1808.CCFX,2018-07-31,IH1808.CCFX,14.419999999999618,0.0011829911896463765,1.961009188148761,0.0011829911896463765,1.0
805,IC1808.CCFX,2018-08-01,IH1808.CCFX,19.33000000000129,0.00855632440802789,1.977788218929685,0.00855632440802789,1.0
806,IC1808.CCFX,2018-08-02,IH1808.CCFX,-13.059900000000198,-0.005180765367803982,1.9880346756391665,0.005180765367803982,-1.0
807,IC1808.CCFX,2018-08-03,IH1808.CCFX,-20.309999999999945,-0.0018781543484968077,1.9917685116101804,0.0018781543484968077,-1.0
808,IC1808.CCFX,2018-08-06,IH1808.CCFX,1.3800000000005639,-0.015964298456706327,1.9599713246341657,-0.015964298456706327,1.0
809,IC1808.CCFX,2018-08-07,IH1808.CCFX,-17.209999999999127,-0.004297393120771046,1.968394091921557,0.004297393120771046,-1.0
810,IC1808.CCFX,2018-08-08,IH1808.CCFX,4.489999999999782,-0.00033996782037926283,1.9677249012724791,-0.00033996782037926283,1.0
811,IC1808.CCFX,2018-08-09,IH1808.CCFX,-25.919999999999163,0.0018093955420321922,1.964164508608171,-0.0018093955420321922,-1.0
812,IC1808.CCFX,2018-08-10,IH1808.CCFX,12.840000000001055,0.00759286433111628,1.9790781432460265,0.00759286433111628,1.0
813,IC1808.CCFX,2018-08-13,IH1808.CCFX,-1.0700000000006185,0.016061343367314684,1.9472914896366045,-0.016061343367314684,-1.0
814,IC1808.CCFX,2018-08-14,IH1808.CCFX,9.230000000000018,0.0009236529655584084,1.949090111195814,0.0009236529655584084,1.0
815,IC1808.CCFX,2018-08-15,IH1808.CCFX,-11.75,0.0047225537453250465,1.9398854283912104,-0.0047225537453250465,-1.0
816,IC1808.CCFX,2018-08-16,IH1808.CCFX,-29.069999999999254,-0.014077059279330784,1.9671933105617831,0.014077059279330784,-1.0
817,IC1809.CCFX,2018-08-17,IH1809.CCFX,19.300000000000182,-0.002457842457842415,1.9623582593203008,-0.002457842457842415,1.0
818,IC1809.CCFX,2018-08-20,IH1809.CCFX,13.150000000000091,-0.007761119313340671,1.9471281627341965,-0.007761119313340671,1.0
819,IC1809.CCFX,2018-08-21,IH1809.CCFX,4.459999999998672,-0.006940618938292118,1.9336138881326417,-0.006940618938292118,1.0
820,IC1809.CCFX,2018-08-22,IH1809.CCFX,14.849999999999,-0.004427899795971024,1.9250520395918924,-0.004427899795971024,1.0
821,IC1809.CCFX,2018-08-23,IH1809.CCFX,-18.809999999999036,0.0019171785941096704,1.9213613710290396,-0.0019171785941096704,-1.0
822,IC1809.CCFX,2018-08-24,IH1809.CCFX,4.869999999999891,-0.011300499421975084,1.8996490279663207,-0.011300499421975084,1.0
823,IC1809.CCFX,2018-08-27,IH1809.CCFX,5.440000000000509,0.007424695941244951,1.9137533443940522,0.007424695941244951,1.0
