,open_IC,close_IC,high_IC,low_IC,preclose_IC,pre2close_IC,tradedate,ret_IC,preret_IC,open_IH,close_IH,high_IH,low_IH,preclose_IH,pre2close_IH,ret_IH,preret_IH,dpreret,signal,cum,ICmIH,ret,ICpre_last_vol,ICpre_last_ret,IHpre_last_vol,IHpre_last_ret,IClastmean,IClaststd,IHlastmean,IHlaststd
0,4553.37,4550.28,4595.1,4538.72,4557.48,4510.53,2010-01-06,-0.0015798204270780491,0.010408976328724062,2538.28,2514.01,2549.57,2513.36,2543.99,2514.65,-0.011784637518229113,0.01166762770166807,-0.0012586513729440085,-1.0,1.0,0.010204817091151064,-0.010204817091151064,63296000.0,0.0005070348339517583,27130000.0,0.00026344969683633757,,,,
1,4540.01,4459.15,4554.93,4436.77,4550.28,4557.48,2010-01-07,-0.020027338976942092,-0.0015798204270780491,2516.06,2463.76,2527.43,2450.4,2514.01,2543.99,-0.019987987319063927,-0.011784637518229113,0.010204817091151064,1.0,0.9999606483421218,-3.935165787816164e-05,-3.935165787816164e-05,61368000.0,0.0002879695146646988,21232000.0,-1.9883403720499793e-05,,,,
2,4439.21,4514.45,4514.72,4426.23,4459.15,4550.28,2010-01-08,0.012401466647230965,-0.020027338976942092,2453.06,2466.16,2470.02,2432.01,2463.76,2514.01,0.0009741208559272962,-0.019987987319063927,-3.935165787816164e-05,-1.0,0.9885337522358202,0.011427345791303669,-0.011427345791303669,63087200.0,0.0003476567932136909,23415000.0,-0.00012981375782439297,,,,
3,4549.32,4542.95,4558.46,4502.99,4514.45,4459.15,2010-01-11,0.00631306139175325,0.012401466647230965,2584.53,2478.81,2584.53,2467.67,2466.16,2463.76,0.005129431991436118,0.0009741208559272962,0.011427345791303669,1.0,0.9897038098481724,0.0011836294003171322,0.0011836294003171322,58953600.0,0.0002725163897561167,19052000.0,-0.00038910616223220007,,,,
4,4535.3,4639.63,4640.35,4524.68,4542.95,4514.45,2010-01-12,0.021281326010631933,0.00631306139175325,2472.62,2508.04,2513.3,2435.16,2478.81,2466.16,0.01179194855596033,0.005129431991436118,0.0011836294003171322,1.0,0.999095482868148,0.0094893774546716,0.0094893774546716,58816800.0,0.0004227640844294278,22942500.0,0.00020977638644037455,,,,
5,4544.43,4591.02,4650.06,4526.84,4639.63,4542.95,2010-01-13,-0.010477128564131077,0.021281326010631933,2444.24,2399.64,2457.9,2396.47,2508.04,2478.81,-0.04322100125994799,0.01179194855596033,0.0094893774546716,1.0,1.0318097381701483,0.03274387269581691,0.03274387269581691,70157600.0,0.0007008690776562077,38966000.0,0.000558407422032392,,,,
6,4598.4,4714.1,4714.87,4598.4,4591.02,4639.63,2010-01-14,0.026808857290972377,-0.010477128564131077,2412.63,2422.77,2428.7,2384.16,2399.64,2508.04,0.009638945841876412,-0.04322100125994799,0.03274387269581691,1.0,1.049525820006845,0.01716991144909596,0.01716991144909596,63236000.0,0.0002810537117607925,25290300.0,-4.16682292252446e-05,,,,
7,4720.22,4747.65,4753.19,4712.62,4714.1,4591.02,2010-01-15,0.0071169470312464345,0.026808857290972377,2423.13,2427.81,2445.2,2402.9,2422.77,2399.64,0.0020802635000434218,0.009638945841876412,0.01716991144909596,1.0,1.0548119494200456,0.005036683531203011,0.005036683531203011,71195200.0,0.00036922215078294407,20161000.0,0.00022698383875074946,,,,
8,4744.32,4829.06,4829.36,4738.91,4747.65,4714.1,2010-01-18,0.017147430834202337,0.0071169470312464345,2414.89,2421.19,2421.89,2398.78,2427.81,2422.77,-0.00272673726527195,0.0020802635000434218,0.005036683531203011,1.0,1.0757754594161535,0.019874168099474288,0.019874168099474288,63958800.0,0.0003033820781253027,21185000.0,0.00025948029803180006,,,,
9,4835.83,4830.02,4852.32,4791.99,4829.06,4747.65,2010-01-19,0.00019879645314002656,0.017147430834202337,2424.47,2432.71,2450.28,2424.16,2421.19,2427.81,0.004757990905298604,-0.00272673726527195,0.019874168099474288,1.0,1.070870789909815,-0.004559194452158577,-0.004559194452158577,71004800.0,0.00045575452232782254,27814000.0,0.000520551454032292,,,,
