,open_IC,close_IC,high_IC,low_IC,preclose_IC,pre2close_IC,tradedate,ret_IC,preret_IC,open_IH,close_IH,high_IH,low_IH,preclose_IH,pre2close_IH,ret_IH,preret_IH,dpreret,signal,cum,ICmIH,ICpre_last_money,ICpre_last_ret,IHpre_last_money,IHpre_last_ret,IClastmean,IClaststd,IHlastmean,IHlaststd
0,4553.37,4550.28,4595.1,4538.72,4557.48,4510.53,2010-01-06,-0.00157982,0.010408976,2538.28,2514.01,2549.57,2513.36,2543.99,2514.65,-0.011784638,0.011667628000000001,-0.001258651,0,1,0.010204817,740820000.0,0.0005070348339517583,360240000.0,0.00026344969683633757,,,,
1,4540.01,4459.15,4554.93,4436.77,4550.28,4557.48,2010-01-07,-0.020027338999999998,-0.00157982,2516.06,2463.76,2527.43,2450.4,2514.01,2543.99,-0.019987987,-0.011784638,0.010204817,0,1,-3.9399999999999995e-05,735490000.0,0.0002879695146646988,300580000.0,-1.9883403720499793e-05,,,,
2,4439.21,4514.45,4514.72,4426.23,4459.15,4550.28,2010-01-08,0.012401467,-0.020027338999999998,2453.06,2466.16,2470.02,2432.01,2463.76,2514.01,0.0009741210000000001,-0.019987987,-3.9399999999999995e-05,0,1,0.011427346000000001,743170000.0,0.0003476567932136909,309550000.0,-0.00012981375782439297,,,,
3,4549.32,4542.95,4558.46,4502.99,4514.45,4459.15,2010-01-11,0.006313061,0.012401467,2584.53,2478.81,2584.53,2467.67,2466.16,2463.76,0.005129432,0.0009741210000000001,0.011427346000000001,0,1,0.0011836289999999998,691580000.0,0.0002725163897561167,284240000.0,-0.00038910616223220007,,,,
4,4535.3,4639.63,4640.35,4524.68,4542.95,4514.45,2010-01-12,0.021281326,0.006313061,2472.62,2508.04,2513.3,2435.16,2478.81,2466.16,0.011791949,0.005129432,0.0011836289999999998,0,1,0.009489377,705950000.0,0.0004227640844294278,332997000.0,0.00020977638644037455,,,,
5,4544.43,4591.02,4650.06,4526.84,4639.63,4542.95,2010-01-13,-0.010477129,0.021281326,2444.24,2399.64,2457.9,2396.47,2508.04,2478.81,-0.043221000999999995,0.011791949,0.009489377,0,1,0.032743873,845650000.0,0.0007008690776562077,492340000.0,0.000558407422032392,,,,
6,4598.4,4714.1,4714.87,4598.4,4591.02,4639.63,2010-01-14,0.026808857000000002,-0.010477129,2412.63,2422.77,2428.7,2384.16,2399.64,2508.04,0.009638945999999999,-0.043221000999999995,0.032743873,0,1,0.017169911,758590000.0,0.0002810537117607925,361397600.0,-4.16682292252446e-05,,,,
7,4720.22,4747.65,4753.19,4712.62,4714.1,4591.02,2010-01-15,0.007116946999999999,0.026808857000000002,2423.13,2427.81,2445.2,2402.9,2422.77,2399.64,0.002080264,0.009638945999999999,0.017169911,0,1,0.0050366840000000005,869890000.0,0.00036922215078294407,258090000.0,0.00022698383875074946,,,,
8,4744.32,4829.06,4829.36,4738.91,4747.65,4714.1,2010-01-18,0.017147431,0.007116946999999999,2414.89,2421.19,2421.89,2398.78,2427.81,2422.77,-0.002726737,0.002080264,0.0050366840000000005,0,1,0.019874168,782000000.0,0.0003033820781253027,274680000.0,0.00025948029803180006,,,,
9,4835.83,4830.02,4852.32,4791.99,4829.06,4747.65,2010-01-19,0.000198796,0.017147431,2424.47,2432.71,2450.28,2424.16,2421.19,2427.81,0.004757991,-0.002726737,0.019874168,0,1,-0.004559194,873090000.0,0.00045575452232782254,375310000.0,0.000520551454032292,,,,
10,4830.42,4651.07,4831.7,4635.67,4830.02,4829.06,2010-01-20,-0.037049536,0.000198796,2436.65,2359.49,2439.47,2356.16,2432.71,2421.19,-0.030098121000000002,0.004757991,-0.004559194,0,1,-0.006951415,816530000.0,0.0003520732975184071,272960000.0,0.0005757407521642666,,,,
11,4646.62,4667.21,4696.16,4611.76,4651.07,4830.02,2010-01-21,0.0034701690000000004,-0.037049536,2362.6,2377.75,2391.51,2346.15,2359.49,2432.71,0.007738961,-0.030098121000000002,-0.006951415,0,1,-0.004268791,904390000.0,0.00044517852303971317,364970000.0,0.0002881331514139607,,,,
12,4613.19,4537.88,4633.39,4453.69,4667.21,4651.07,2010-01-22,-0.027710345,0.0034701690000000004,2344.97,2380.05,2398.99,2317.48,2377.75,2359.49,0.0009673010000000001,0.007738961,-0.004268791,0,1,-0.028677646,645220000.0,0.0003150180010287329,262260000.0,0.0003658731493945133,,,,
13,4515.13,4481.16,4542.79,4477.19,4537.88,4667.21,2010-01-25,-0.012499228999999999,-0.027710345,2355.36,2353.47,2389.63,2350.01,2380.05,2377.75,-0.011167833,0.0009673010000000001,-0.028677646,0,1,-0.001331396,622610000.0,0.0005180741749946094,298580000.0,0.00024791061771778367,,,,
14,4467.52,4294.38,4492.65,4254.32,4481.16,4537.88,2010-01-26,-0.041681172,-0.012499228999999999,2354.91,2311.45,2363.41,2296.88,2353.47,2380.05,-0.017854487,-0.011167833,-0.001331396,0,1,-0.023826685,14148968851600.0,0.00011827743422787584,208820000.0,-0.00016997395800133486,,,,
15,4290.74,4267.11,4344.13,4229.52,4294.38,4481.16,2010-01-27,-0.00635016,-0.041681172,2313.01,2264.61,2319.99,2260.56,2311.45,2353.47,-0.020264336,-0.017854487,-0.023826685,0,1,0.013914176,466410000.0,0.00034469346735988005,228230000.0,0.00022933100252253702,,,,
16,4266.06,4336.38,4340.41,4249.77,4267.11,4294.38,2010-01-28,0.016233469,-0.00635016,2263.06,2252.61,2267.85,2235.6,2264.61,2311.45,-0.005298926,-0.020264336,0.013914176,0,1,0.021532395,460400000.0,0.00012186547925963076,255000000.0,9.710752925595756e-05,,,,
17,4316.24,4374.65,4418.4,4298.65,4336.38,4267.11,2010-01-29,0.008825334,0.016233469,2241.12,2243.99,2276.77,2231.65,2252.61,2264.61,-0.003826672,-0.005298926,0.021532395,0,1,0.012652006,550690000.0,0.000805239513704592,220020000.0,0.0002485729250818469,,,,
18,4366.49,4331.37,4372.57,4269.33,4374.65,4336.38,2010-02-01,-0.009893363,0.008825334,2238.62,2208.94,2238.9,2182.95,2243.99,2252.61,-0.015619498999999998,-0.003826672,0.012652006,0,1,0.005726136,539520000.0,0.00047563513297199655,214330000.0,0.0006062875586227978,,,,
19,4344.04,4301.77,4388.35,4296.88,4331.37,4374.65,2010-02-02,-0.006833865,-0.009893363,2223.6,2214.03,2261.63,2210.7,2208.94,2243.99,0.002304273,-0.015619498999999998,0.005726136,0,1,-0.009138138,559380000.0,0.00047112837555407516,215730000.0,0.0004936124734513658,,,,
20,4299.97,4363.08,4363.67,4160.35,4301.77,4331.37,2010-02-03,0.014252273000000001,-0.006833865,2226.8,2277.8,2278.47,2190.43,2214.03,2208.94,0.028802681,0.002304273,-0.009138138,0,1,-0.014550408,556650000.0,0.0005744239481297875,203130000.0,9.486080306442268e-05,,,,
21,4342.68,4408.44,4445.75,4316.81,4363.08,4301.77,2010-02-04,0.010396326,0.014252273000000001,2258.08,2261.36,2276.47,2247.64,2277.8,2214.03,-0.0072174909999999995,0.028802681,-0.014550408,0,1,0.017613816,675740000.0,0.0005686750764968274,353380000.0,0.0004391338523894728,,,,
22,4312.55,4311.29,4382.34,4270.71,4408.44,4363.08,2010-02-05,-0.022037274,0.010396326,2212.31,2219.6,2233.32,2204.93,2261.36,2277.8,-0.018466763,-0.0072174909999999995,0.017613816,0,1,-0.0035705109999999997,656880000.0,0.0005332958135142452,177160000.0,0.0003184290831896863,,,,
23,4299.25,4310.89,4330.2,4279.66,4311.29,4408.44,2010-02-08,-9.279999999999999e-05,-0.022037274,2220.84,2211.14,2233.14,2201.8,2219.6,2261.36,-0.003811498,-0.018466763,-0.0035705109999999997,0,1,0.0037187179999999998,595670000.0,0.0003039407895499835,186868900.0,0.0003921038399135046,,,,
24,4300.32,4311.89,4334.34,4284.52,4310.89,4311.29,2010-02-09,0.00023197099999999998,-9.279999999999999e-05,2210.33,2229.04,2234.53,2207.85,2211.14,2219.6,0.008095372,-0.003811498,0.0037187179999999998,0,1,-0.007863400999999999,388570000.0,0.00021576074221707486,121260000.0,0.00016279795417251108,,,,
